Past 7 days analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Past 7 days
Zambezi,60654808,Southern,Livingstone,Urban,Male,0,One,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Mosi-0-Tunya,Falls,Zambezi"
Mosi-0-Tunya,60654808,Southern,Livingstone,Urban,Male,0,One,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Mosi-0-Tunya,Falls,Zambezi"
Falls,60654811,Southern,Livingstone,Urban,Female,1,None,C1,Some university,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,45+,"Mosi-0-Tunya,Falls"
Mosi-0-Tunya,60654811,Southern,Livingstone,Urban,Female,1,None,C1,Some university,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,45+,"Mosi-0-Tunya,Falls"
Radio 1,60658199,Central,Mkushi,Rural,Male,1,None,C1,Some university,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Money FM,60658199,Central,Mkushi,Rural,Male,1,None,C1,Some university,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Mkushi,60658199,Central,Mkushi,Rural,Male,1,None,C1,Some university,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Radio 2,60658199,Central,Mkushi,Rural,Male,1,None,C1,Some university,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Feel Free,60663456,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 1,Breeze,QFM,Feel Free"
Radio 1,60663456,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 1,Breeze,QFM,Feel Free"
Breeze,60663456,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 1,Breeze,QFM,Feel Free"
QFM,60663456,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 1,Breeze,QFM,Feel Free"
Power,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"KNC,Power"
KNC,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"KNC,Power"
BBC,60664687,Copperbelt,Kalulushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,K 850-K 1674,Yes,19 – 24,BBC
Roots,60667629,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,K 850-K 1674,Yes,19 – 24,"Roots,Q FM"
QFM,60667629,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,K 850-K 1674,Yes,19 – 24,"Roots,Q FM"
Yangeni,60667632,Lusaka,Lusaka district,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"Yatsani,Yangeni FM"
Yatsani,60667632,Lusaka,Lusaka district,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"Yatsani,Yangeni FM"
Chimwemwe,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,Chimwemwe
Radio 1,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"Radio 1,Radio 2"
Radio 2,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"Radio 1,Radio 2"
Radio 1,60668565,Muchinga,Nakonde,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Housewife,Do not know,Under K 849,Yes,25 – 34,"Radio 1,Radio 2"
Radio 2,60668565,Muchinga,Nakonde,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Housewife,Do not know,Under K 849,Yes,25 – 34,"Radio 1,Radio 2"
Radio 1,60668605,Eastern,Petauke,Urban,Female,1,None,C1,Some university,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"PASME,Radio 1"
PASME,60668605,Eastern,Petauke,Urban,Female,1,None,C1,Some university,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"PASME,Radio 1"
Radio 4,60669002,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Other Christian,Working Part-Time,C2,Under K 849,Yes,25 – 34,Radio 4
Feel Free,60669890,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Radio 1,60669890,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Breeze,60669890,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Maria,60669890,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Radio 1,60670478,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some primary school,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,15 – 18,"Radio 1,Radio Christian Voice"
Radio Christian Voice,60670478,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some primary school,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,15 – 18,"Radio 1,Radio Christian Voice"
Radio 1,60670479,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,Radio 1
Radio 1,60670480,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"Radio 1,Radio 2"
Radio 2,60670480,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"Radio 1,Radio 2"
Radio 1,60670481,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Radio 1,Yatsani,Millennium,Yangeni FM"
Yangeni,60670481,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Radio 1,Yatsani,Millennium,Yangeni FM"
Yatsani,60670481,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Radio 1,Yatsani,Millennium,Yangeni FM"
Millennium,60670481,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Radio 1,Yatsani,Millennium,Yangeni FM"
Radio 1,60670482,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"Radio 1,Komboni"
Komboni,60670482,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"Radio 1,Komboni"
Radio 1,60670483,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,Radio 1
Radio 1,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"Radio 1,Radio 2"
Radio 2,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"Radio 1,Radio 2"
Icengelo,60671014,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,Do not know,Under K 849,Yes,45+,Icengelo
Icengelo,60671015,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Unemployed [NOT SEEKING A JOB],No Income,Do not know,Yes,45+,Icengelo
Rise FM,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"Rise FM,Iwave"
Iwave,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"Rise FM,Iwave"
Icengelo,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"Icengelo,Kokoliko"
Kokoliko,60673756,Copperbelt,Chingola,Urban,Female,2,None,C1,Some primary school,Roman Catholic,Self employed,Do not know,Do not know,Yes,45+,"Icengelo,Kokoliko"
Iwave,60673757,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Do not know,Yes,19 – 24,Iwave
Feel Free,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"Radio 1,Breeze,Radio 2,Feel Free"
Radio 1,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"Radio 1,Breeze,Radio 2,Feel Free"
Breeze,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"Radio 1,Breeze,Radio 2,Feel Free"
Radio 2,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"Radio 1,Breeze,Radio 2,Feel Free"
Feel Free,60676957,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 1,Breeze,Feel Free"
Radio 1,60676957,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 1,Breeze,Feel Free"
Breeze,60676957,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 1,Breeze,Feel Free"
Icengelo,60677793,Copperbelt,Luanshya,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Housewife,D,"K 1675- K2,499",Yes,19 – 24,Icengelo
Phoenix,60678809,Central,Chibombo,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Phoenix
Radio 1,60678811,Central,Chibombo,Rural,Female,2,None,C1,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,Radio 1
Phoenix,60678812,Central,Chibombo,Rural,Male,2,One,C1,Some high school,Seventh Day Adventists,Self employed,AB,"K 7,893 -  K 11,261",Yes,35 – 44,Phoenix
Radio 1,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"Maria,Radio 1,Breeze,Radio 2,Feel Free"
Maria,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"Maria,Radio 1,Breeze,Radio 2,Feel Free"
Radio 2,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"Maria,Radio 1,Breeze,Radio 2,Feel Free"
Breeze,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"Maria,Radio 1,Breeze,Radio 2,Feel Free"
Feel Free,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"Maria,Radio 1,Breeze,Radio 2,Feel Free"
Radio 2,60679466,Muchinga,Nakonde,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,Radio 2
Power,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"KNC,Power,QFM"
KNC,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"KNC,Power,QFM"
QFM,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"KNC,Power,QFM"
Radio 4,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio 4,One Love"
One Love,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio 4,One Love"
Komboni,60685306,Lusaka,Kafue,Rural,Female,1,None,C1,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,25 – 34,Komboni
Feel Free,60685545,Eastern,Chipata,Urban,Female,1,One,C1,Some university,Roman Catholic,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Radio 1,60685545,Eastern,Chipata,Urban,Female,1,One,C1,Some university,Roman Catholic,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Breeze,60685545,Eastern,Chipata,Urban,Female,1,One,C1,Some university,Roman Catholic,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Maria,60685545,Eastern,Chipata,Urban,Female,1,One,C1,Some university,Roman Catholic,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Radio Christian Voice,60685719,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Others,Housewife,D,Under K 849,Yes,25 – 34,Radio Christian Voice
Komboni,60685722,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Others,Housewife,C2,Under K 849,Yes,25 – 34,Komboni
BBC,60685770,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,BBC
Komboni,60685771,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Roman Catholic,Working Part-Time,D,Under K 849,Yes,19 – 24,Komboni
QFM,60687020,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Maria,Radio 1,Breeze,QFM,Feel Free"
Radio 1,60687020,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Maria,Radio 1,Breeze,QFM,Feel Free"
Maria,60687020,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Maria,Radio 1,Breeze,QFM,Feel Free"
Breeze,60687020,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Maria,Radio 1,Breeze,QFM,Feel Free"
Feel Free,60687020,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Maria,Radio 1,Breeze,QFM,Feel Free"
Radio 1,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,"PASME,Petauke Explorers,Radio 1"
PASME,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,"PASME,Petauke Explorers,Radio 1"
Petauke Explorers,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,"PASME,Petauke Explorers,Radio 1"
Radio 1,60688036,Eastern,Petauke,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",No,35 – 44,"Petauke Explorers,Radio 1"
Petauke Explorers,60688036,Eastern,Petauke,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",No,35 – 44,"Petauke Explorers,Radio 1"
Radio 1,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"PASME,Petauke Explorers,Radio 1"
PASME,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"PASME,Petauke Explorers,Radio 1"
Petauke Explorers,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"PASME,Petauke Explorers,Radio 1"
Radio 1,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"PASME,Petauke Explorers,Radio 1"
PASME,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"PASME,Petauke Explorers,Radio 1"
Petauke Explorers,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"PASME,Petauke Explorers,Radio 1"
Feel Free,60688170,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Radio 1,Breeze,Feel Free"
Radio 1,60688170,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Radio 1,Breeze,Feel Free"
Breeze,60688170,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Radio 1,Breeze,Feel Free"
United Voice,60688914,Lusaka,Lusaka district,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"United Voice,Yatsani,Yangeni FM"
Yangeni,60688914,Lusaka,Lusaka district,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"United Voice,Yatsani,Yangeni FM"
Yatsani,60688914,Lusaka,Lusaka district,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"United Voice,Yatsani,Yangeni FM"
Pan African,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5FM,Pan African,Hot,One Love,Komboni,Millennium"
Millennium,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5FM,Pan African,Hot,One Love,Komboni,Millennium"
Hot,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5FM,Pan African,Hot,One Love,Komboni,Millennium"
5FM,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5FM,Pan African,Hot,One Love,Komboni,Millennium"
One Love,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5FM,Pan African,Hot,One Love,Komboni,Millennium"
Komboni,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5FM,Pan African,Hot,One Love,Komboni,Millennium"
Radio 1,60689991,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"Radio 1,Radio Christian Voice,Komboni"
Radio Christian Voice,60689991,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"Radio 1,Radio Christian Voice,Komboni"
Komboni,60689991,Lusaka,Lusaka district,Urban,Female,1,One,C1,Completed high School,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"Radio 1,Radio Christian Voice,Komboni"
Radio Christian Voice,60689993,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Power,Radio Christian Voice,Yatsani,Komboni,Yangeni FM"
Power,60689993,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Power,Radio Christian Voice,Yatsani,Komboni,Yangeni FM"
Yangeni,60689993,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Power,Radio Christian Voice,Yatsani,Komboni,Yangeni FM"
Yatsani,60689993,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Power,Radio Christian Voice,Yatsani,Komboni,Yangeni FM"
Komboni,60689993,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Power,Radio Christian Voice,Yatsani,Komboni,Yangeni FM"
Radio Christian Voice,60689994,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio Christian Voice,Yatsani,Komboni,Millennium,Yangeni FM,Chikuni"
Millennium,60689994,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio Christian Voice,Yatsani,Komboni,Millennium,Yangeni FM,Chikuni"
Chikuni,60689994,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio Christian Voice,Yatsani,Komboni,Millennium,Yangeni FM,Chikuni"
Yangeni,60689994,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio Christian Voice,Yatsani,Komboni,Millennium,Yangeni FM,Chikuni"
Yatsani,60689994,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio Christian Voice,Yatsani,Komboni,Millennium,Yangeni FM,Chikuni"
Komboni,60689994,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"Radio Christian Voice,Yatsani,Komboni,Millennium,Yangeni FM,Chikuni"
QFM,60690699,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C2,Under K 849,Yes,35 – 44,QFM
Petauke Explorers,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,Petauke Explorers
Radio 1,60704336,Copperbelt,Kalulushi,Rural,Male,1,None,C1,Don’t know (DON’T READ),Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Radio 1
QFM,60704850,Lusaka,Lusaka district,Urban,Male,0,None,C1,Some high school,Seventh Day Adventists,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"Komboni,Q FM,Unza"
Unza,60704850,Lusaka,Lusaka district,Urban,Male,0,None,C1,Some high school,Seventh Day Adventists,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"Komboni,Q FM,Unza"
Komboni,60704850,Lusaka,Lusaka district,Urban,Male,0,None,C1,Some high school,Seventh Day Adventists,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"Komboni,Q FM,Unza"
Komboni,60704852,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,Komboni
Komboni,60704853,Lusaka,Lusaka district,Urban,Male,0,None,C1,Some high school,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,Komboni
Radio 1,60705591,Copperbelt,Kalulushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,D,"K 2,500   -  K 3,154",Yes,19 – 24,"Icengelo,Radio 1"
Icengelo,60705591,Copperbelt,Kalulushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,D,"K 2,500   -  K 3,154",Yes,19 – 24,"Icengelo,Radio 1"
Radio Christian Voice,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Hot,Radio Christian Voice,Komboni,Rock FM"
Hot,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Hot,Radio Christian Voice,Komboni,Rock FM"
Rock FM,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Hot,Radio Christian Voice,Komboni,Rock FM"
