Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Radio 1,82195764,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio 1,Radio 2,Radio Christian Voice,FCC Solwezi,Kabangabanga", ,"Radio 1,Kabangabanga","Radio 2,Radio Christian Voice",FCC Solwezi
FCC Solwezi,82197832,,,"Parliament,Radio 1,Radio 2,Radio Christian Voice Radio 4,FCC Solwezi,Kabangabanga","Parliament,Radio 1,Radio 2,Radio Christian Voice Radio 4,FCC Solwezi,Kabangabanga","Radio 1,FCC Solwezi,Kabangabanga","Radio 1,Kabangabanga",FCC Solwezi, , 
Icengelo,82198340,,,"Baptist Faith,BBC,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Radio 1,Radio 2,Radio 4 Radio Christian Voice","Baptist Faith,BBC,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Radio 1,Radio 2,Radio 4 Radio Christian Voice",Icengelo, ,Icengelo, , 
Radio Christian Voice,82198882,,,"BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Radio 1,Radio Christian Voice,", ,"BBC,Icengelo,Radio 1,Radio Christian Voice", , 
Radio 1,82198882,,,"BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Radio 1,Radio Christian Voice,", ,"BBC,Icengelo,Radio 1,Radio Christian Voice", , 
Icengelo,82198882,,,"BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Radio 1,Radio Christian Voice,", ,"BBC,Icengelo,Radio 1,Radio Christian Voice", , 
BBC,82198882,,,"BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Parliament,Phoenix,Radio 1 Kokoliko,Radio Christian Voice,Rise FM","BBC,Icengelo,Radio 1,Radio Christian Voice,", ,"BBC,Icengelo,Radio 1,Radio Christian Voice", , 
Parliament,82203700,,,"Baptist Faith,Flava FM,Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice BBC,Chimwemwe,","Baptist Faith,Flava FM,Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice BBC,Chimwemwe,","Baptist Faith,BBC,Flava FM,Icengelo,Parliament,Radio 1,","Baptist Faith,Flava FM,Icengelo,Radio 1","BBC,Parliament", , 
BBC,82203700,,,"Baptist Faith,Flava FM,Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice BBC,Chimwemwe,","Baptist Faith,Flava FM,Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice BBC,Chimwemwe,","Baptist Faith,BBC,Flava FM,Icengelo,Parliament,Radio 1,","Baptist Faith,Flava FM,Icengelo,Radio 1","BBC,Parliament", , 
FCC Solwezi,82204036,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Parliament,Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Parliament,Beats","Radio 1,Radio Christian Voice,FCC Solwezi,Kabangabanga,", ,"Radio 1,Radio Christian Voice,FCC Solwezi",Kabangabanga, 
Radio Christian Voice,82204036,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Parliament,Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Parliament,Beats","Radio 1,Radio Christian Voice,FCC Solwezi,Kabangabanga,", ,"Radio 1,Radio Christian Voice,FCC Solwezi",Kabangabanga, 
Radio 1,82204036,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Parliament,Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Parliament,Beats","Radio 1,Radio Christian Voice,FCC Solwezi,Kabangabanga,", ,"Radio 1,Radio Christian Voice,FCC Solwezi",Kabangabanga, 
Icengelo,82205274,,,"BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar Rise FM","BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar Rise FM","Flava FM,Icengelo,Radio 1,Radio 2,","Flava FM,Radio 2","Icengelo,Radio 1", , 
Radio 1,82205274,,,"BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar Rise FM","BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar Rise FM","Flava FM,Icengelo,Radio 1,Radio 2,","Flava FM,Radio 2","Icengelo,Radio 1", , 
Phoenix,82205275,,,"BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Yar ","BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Yar ","Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Radio 1,Radio 2,Radio 4","Phoenix,Radio Christian Voice", ,Icengelo
Radio Christian Voice,82205275,,,"BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Yar ","BBC,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Yar ","Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Radio 1,Radio 2,Radio 4","Phoenix,Radio Christian Voice", ,Icengelo
Radio 4,82205276,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Flava FM,Icengelo,Phoenix,Radio 2,Radio Christian Voice","Radio 1,Radio 4", , 
Radio 1,82205276,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Flava FM,Icengelo,Phoenix,Radio 2,Radio Christian Voice","Radio 1,Radio 4", , 
Flava FM,82205281,,,"Flava FM,Icengelo, Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Flava FM,Icengelo, Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Flava FM,Radio 1,", ,"Flava FM,Radio 1", , 
Radio 1,82205281,,,"Flava FM,Icengelo, Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Flava FM,Icengelo, Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Flava FM,Radio 1,", ,"Flava FM,Radio 1", , 
Jive,82209675,,,"Jive,Phoenix,Radio Christian Voice Radio 4","Jive,Phoenix,Radio Christian Voice Radio 4","Jive,Radio Christian Voice,", ,Jive,Radio Christian Voice, 
Feel Free,82210551,,,"Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Radio 2,Breeze,Feel Free,Maria", ,"Q FM,Radio 2,Breeze,Feel Free,Maria", , 
Breeze,82210551,,,"Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Radio 2,Breeze,Feel Free,Maria", ,"Q FM,Radio 2,Breeze,Feel Free,Maria", , 
Q FM,82210551,,,"Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Radio 2,Breeze,Feel Free,Maria", ,"Q FM,Radio 2,Breeze,Feel Free,Maria", , 
Maria,82210551,,,"Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Radio 2,Breeze,Feel Free,Maria", ,"Q FM,Radio 2,Breeze,Feel Free,Maria", , 
Radio 2,82210551,,,"Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Breeze,Feel Free,Maria Radio 2","Q FM,Radio 2,Breeze,Feel Free,Maria", ,"Q FM,Radio 2,Breeze,Feel Free,Maria", , 
Feel Free,82210552,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,", ,"Breeze,Feel Free", , 
Breeze,82210552,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,", ,"Breeze,Feel Free", , 
Feel Free,82210555,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria,", ,"Breeze,Feel Free,Maria",Radio 1, 
Breeze,82210555,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria,", ,"Breeze,Feel Free,Maria",Radio 1, 
Maria,82210555,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria,", ,"Breeze,Feel Free,Maria",Radio 1, 
Feel Free,82210557,,,"Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,Maria Radio 2",Feel Free, ,Feel Free, , 
Breeze,82210558,,,"Radio 1,Maria Breeze","Radio 1,Maria Breeze",Breeze, ,Breeze, , 
Mosi-O-Tunya,82212291,,,"Falls Radio 2,Radio 4,Radio Christian Voice,Chikuni,Choma Maano,Mosi-0-Tunya,Q FM,Salvation Army,Zambezi","Falls Radio 2,Radio 4,Radio Christian Voice,Chikuni,Choma Maano,Mosi-0-Tunya,Q FM,Salvation Army,Zambezi","Radio 4,Falls,Mosi-0-Tunya,Zambezi,", ,"Falls,Mosi--Tunya","Radio 4,Zambezi", 
Falls,82212291,,,"Falls Radio 2,Radio 4,Radio Christian Voice,Chikuni,Choma Maano,Mosi-0-Tunya,Q FM,Salvation Army,Zambezi","Falls Radio 2,Radio 4,Radio Christian Voice,Chikuni,Choma Maano,Mosi-0-Tunya,Q FM,Salvation Army,Zambezi","Radio 4,Falls,Mosi-0-Tunya,Zambezi,", ,"Falls,Mosi--Tunya","Radio 4,Zambezi", 
Breeze,82213891,,,"Radio 2,Breeze,Feel Free,Maria BBC,Parliament,Q FM,Radio 4,Radio Christian Voice,Chikaya,Chongwe,Isoka,Mphangwe,PASME","Radio 2,Breeze,Feel Free,Maria BBC,Parliament,Q FM,Radio 4,Radio Christian Voice,Chikaya,Chongwe,Isoka,Mphangwe,PASME","Q FM,Radio 2,Breeze,Maria,","Q FM,Radio 2","Breeze,Maria", , 
Maria,82213891,,,"Radio 2,Breeze,Feel Free,Maria BBC,Parliament,Q FM,Radio 4,Radio Christian Voice,Chikaya,Chongwe,Isoka,Mphangwe,PASME","Radio 2,Breeze,Feel Free,Maria BBC,Parliament,Q FM,Radio 4,Radio Christian Voice,Chikaya,Chongwe,Isoka,Mphangwe,PASME","Q FM,Radio 2,Breeze,Maria,","Q FM,Radio 2","Breeze,Maria", , 
Feel Free,82213892,,,"Breeze,Feel Free BBC,Parliament,Q FM,Radio 2,Radio Christian Voice,Maria,Petauke Explorers","Breeze,Feel Free BBC,Parliament,Q FM,Radio 2,Radio Christian Voice,Maria,Petauke Explorers","Breeze,Feel Free,Maria", ,"Breeze,Feel Free,Maria", , 
Breeze,82213892,,,"Breeze,Feel Free BBC,Parliament,Q FM,Radio 2,Radio Christian Voice,Maria,Petauke Explorers","Breeze,Feel Free BBC,Parliament,Q FM,Radio 2,Radio Christian Voice,Maria,Petauke Explorers","Breeze,Feel Free,Maria", ,"Breeze,Feel Free,Maria", , 
Maria,82213892,,,"Breeze,Feel Free BBC,Parliament,Q FM,Radio 2,Radio Christian Voice,Maria,Petauke Explorers","Breeze,Feel Free BBC,Parliament,Q FM,Radio 2,Radio Christian Voice,Maria,Petauke Explorers","Breeze,Feel Free,Maria", ,"Breeze,Feel Free,Maria", , 
Feel Free,82213894,,,"Breeze,Feel Free,Maria BBC,Parliament,Q FM,Chikaya,Chongwe,Isoka,Mphangwe,Petauke Explorers","Breeze,Feel Free,Maria BBC,Parliament,Q FM,Chikaya,Chongwe,Isoka,Mphangwe,Petauke Explorers","Breeze,Feel Free,",Breeze,Feel Free, , 
SKY,82256859,,,"Chikuni,Falls,Mosi-0-Tunya,SKY BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Choma Maano,Kariba,Mazabuka,Q FM,Sun FMFM, FM,Voice of Kalomo,Zambezi","Chikuni,Falls,Mosi-0-Tunya,SKY BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Choma Maano,Kariba,Mazabuka,Q FM,Sun FMFM, FM,Voice of Kalomo,Zambezi","Falls,Mosi-0-Tunya,SKY",Mosi-0-Tunya,"Falls,SKY", , 
Falls,82256859,,,"Chikuni,Falls,Mosi-0-Tunya,SKY BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Choma Maano,Kariba,Mazabuka,Q FM,Sun FMFM, FM,Voice of Kalomo,Zambezi","Chikuni,Falls,Mosi-0-Tunya,SKY BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Choma Maano,Kariba,Mazabuka,Q FM,Sun FMFM, FM,Voice of Kalomo,Zambezi","Falls,Mosi-0-Tunya,SKY",Mosi-0-Tunya,"Falls,SKY", , 
FCC Solwezi,82267136,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio Christian Voice,FCC Solwezi,Kabangabanga", ,"Radio Christian Voice,FCC Solwezi,Kabangabanga", , 
Radio Christian Voice,82267136,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio Christian Voice,FCC Solwezi,Kabangabanga", ,"Radio Christian Voice,FCC Solwezi,Kabangabanga", , 
Kabangabanga,82267136,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Parliament","Radio Christian Voice,FCC Solwezi,Kabangabanga", ,"Radio Christian Voice,FCC Solwezi,Kabangabanga", , 
Radio Christian Voice,82267632,,,"Radio Christian Voice,Sun FMFM, Chimwemwe,Icengelo,Jive,Radio 1","Radio Christian Voice,Sun FMFM, Chimwemwe,Icengelo,Jive,Radio 1","Icengelo,Radio Christian Voice,Sun FM",Sun FM,Radio Christian Voice,Icengelo, 
Chimwemwe,82267635,,,"Chimwemwe,Sun FMFM, Icengelo,","Chimwemwe,Sun FMFM, Icengelo,","Chimwemwe,Icengelo,Sun FM",Sun FM,Chimwemwe,Icengelo, 
Radio 1,82269324,,,"Radio 1,Radio 2,Radio Christian Voice,FCC Solwezi,Kabangabanga ","Radio 1,Radio 2,Radio Christian Voice,FCC Solwezi,Kabangabanga ","Radio 1,Radio Christian Voice,FCC Solwezi", ,Radio 1,"Radio Christian Voice,FCC Solwezi", 
Zambezi,82270055,,,"Radio 1,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Zambezi Parliament,Vision Maacha","Radio 1,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Zambezi Parliament,Vision Maacha","Radio 1,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Zambezi,","Radio 1,Mosi-0-Tunya","Falls,Zambezi",Radio Christian Voice,SKY
Falls,82270055,,,"Radio 1,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Zambezi Parliament,Vision Maacha","Radio 1,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Zambezi Parliament,Vision Maacha","Radio 1,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Zambezi,","Radio 1,Mosi-0-Tunya","Falls,Zambezi",Radio Christian Voice,SKY
Radio Christian Voice,82271462,,,"Flava FM,Icengelo,Radio 1,Radio 4,Radio Christian Voice,Yar ","Flava FM,Icengelo,Radio 1,Radio 4,Radio Christian Voice,Yar ","Icengelo,Radio 1,Radio Christian Voice,Yar,", ,"Radio Christian Voice,Yar","Icengelo,Radio 1", 
Yar,82271462,,,"Flava FM,Icengelo,Radio 1,Radio 4,Radio Christian Voice,Yar ","Flava FM,Icengelo,Radio 1,Radio 4,Radio Christian Voice,Yar ","Icengelo,Radio 1,Radio Christian Voice,Yar,", ,"Radio Christian Voice,Yar","Icengelo,Radio 1", 
Radio 1,82272682,,,"Radio 1,Radio Christian Voice FCC Solwezi,Kabangabanga","Radio 1,Radio Christian Voice FCC Solwezi,Kabangabanga","Radio 1,Radio Christian Voice,FCC Solwezi,Kabangabanga,", ,Radio 1,"Radio Christian Voice,FCC Solwezi,Kabangabanga", 
Icengelo,82274452,,,"Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Parliament,Phoenix,Radio Christian Voice","Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Parliament,Phoenix,Radio Christian Voice",Icengelo, ,Icengelo, , 
Radio 1,82274453,,,"Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Parliament,Radio Christian Voice,Yar","Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Parliament,Radio Christian Voice,Yar","BBC,Flava FM,Icengelo,Radio 1,Radio Christian Voice",Icengelo,Radio 1,"BBC,Flava FM,Radio Christian Voice", 
Radio 1,82275791,,,"Radio 1,Breeze,Feel Free,Maria Q FM,Radio 2,Chikaya","Radio 1,Breeze,Feel Free,Maria Q FM,Radio 2,Chikaya","Q FM,Radio 1,Maria", ,"Q FM,Radio 1,Maria", , 
Maria,82275791,,,"Radio 1,Breeze,Feel Free,Maria Q FM,Radio 2,Chikaya","Radio 1,Breeze,Feel Free,Maria Q FM,Radio 2,Chikaya","Q FM,Radio 1,Maria", ,"Q FM,Radio 1,Maria", , 
Q FM,82275791,,,"Radio 1,Breeze,Feel Free,Maria Q FM,Radio 2,Chikaya","Radio 1,Breeze,Feel Free,Maria Q FM,Radio 2,Chikaya","Q FM,Radio 1,Maria", ,"Q FM,Radio 1,Maria", , 
Maria,82275792,,,"Q FM,Radio 1,Breeze,Feel Free,Maria BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,Chikaya,Mphangwe","Q FM,Radio 1,Breeze,Feel Free,Maria BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,Chikaya,Mphangwe","Q FM,Breeze,Feel Free,Maria,","Breeze,Feel Free",Maria,Q FM, 
Radio 1,82276585,,,"Radio 1,FCC Solwezi,Kabangabanga Radio Christian Voice","Radio 1,FCC Solwezi,Kabangabanga Radio Christian Voice","Radio 1,FCC Solwezi,Kabangabanga", ,Radio 1,"FCC Solwezi,Kabangabanga", 
Radio Christian Voice,82276743,,,"Radio 1,Radio 2,Beats,FCC Solwezi,Kabangabanga Radio Christian Voice","Radio 1,Radio 2,Beats,FCC Solwezi,Kabangabanga Radio Christian Voice","Radio Christian Voice,FCC Solwezi,",FCC Solwezi,Radio Christian Voice, , 
Mosi-O-Tunya,82278707,,,"Falls,Mosi-0-Tunya,Zambezi BBC,Radio 2,Radio 4,Radio Christian Voice,SKY","Falls,Mosi-0-Tunya,Zambezi BBC,Radio 2,Radio 4,Radio Christian Voice,SKY","Falls,Mosi-0-Tunya,Zambezi", ,Mosi-O-Tunya, ,Falls
Sun FM,82279663,,,"Falls,Mosi-0-Tunya,Zambezi BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Q FM,SKY,Sun FMFM, FM","Falls,Mosi-0-Tunya,Zambezi BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Q FM,SKY,Sun FMFM, FM","Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Sun FM,Zambezi,", ,"Radio Christian Voice,Mosi--Tunya,Sun FM","Falls,SKY,Zambezi", 
Mosi-O-Tunya,82279663,,,"Falls,Mosi-0-Tunya,Zambezi BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Q FM,SKY,Sun FMFM, FM","Falls,Mosi-0-Tunya,Zambezi BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Q FM,SKY,Sun FMFM, FM","Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Sun FM,Zambezi,", ,"Radio Christian Voice,Mosi--Tunya,Sun FM","Falls,SKY,Zambezi", 
Radio Christian Voice,82279663,,,"Falls,Mosi-0-Tunya,Zambezi BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Q FM,SKY,Sun FMFM, FM","Falls,Mosi-0-Tunya,Zambezi BBC,Parliament,Q FM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Q FM,SKY,Sun FMFM, FM","Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Sun FM,Zambezi,", ,"Radio Christian Voice,Mosi--Tunya,Sun FM","Falls,SKY,Zambezi", 
Mosi-O-Tunya,82279664,,,"Radio 4,Radio Christian Voice,Zambezi Parliament,Q FM,Radio 2,Choma Maano,Falls,Mosi-0-Tunya,Q FM,SKY,Young Generation","Radio 4,Radio Christian Voice,Zambezi Parliament,Q FM,Radio 2,Choma Maano,Falls,Mosi-0-Tunya,Q FM,SKY,Young Generation","Radio 4,Mosi-0-Tunya,Zambezi", ,"Mosi--Tunya,Zambezi", ,Radio 4
Zambezi,82279664,,,"Radio 4,Radio Christian Voice,Zambezi Parliament,Q FM,Radio 2,Choma Maano,Falls,Mosi-0-Tunya,Q FM,SKY,Young Generation","Radio 4,Radio Christian Voice,Zambezi Parliament,Q FM,Radio 2,Choma Maano,Falls,Mosi-0-Tunya,Q FM,SKY,Young Generation","Radio 4,Mosi-0-Tunya,Zambezi", ,"Mosi--Tunya,Zambezi", ,Radio 4
SKY,82279665,,,"Mosi-0-Tunya,Zambezi Radio 2,Radio Christian Voice,Chikuni,Choma Maano,Falls,Mazabuka,Namwiaanga,Q FM,SKY,Sun FMFM, FM,Voice of Kalomo","Mosi-0-Tunya,Zambezi Radio 2,Radio Christian Voice,Chikuni,Choma Maano,Falls,Mazabuka,Namwiaanga,Q FM,SKY,Sun FMFM, FM,Voice of Kalomo","Mosi-0-Tunya,SKY,Zambezi", ,"Mosi--Tunya,SKY",Zambezi, 
Mosi-O-Tunya,82279665,,,"Mosi-0-Tunya,Zambezi Radio 2,Radio Christian Voice,Chikuni,Choma Maano,Falls,Mazabuka,Namwiaanga,Q FM,SKY,Sun FMFM, FM,Voice of Kalomo","Mosi-0-Tunya,Zambezi Radio 2,Radio Christian Voice,Chikuni,Choma Maano,Falls,Mazabuka,Namwiaanga,Q FM,SKY,Sun FMFM, FM,Voice of Kalomo","Mosi-0-Tunya,SKY,Zambezi", ,"Mosi--Tunya,SKY",Zambezi, 
Feel Free,82280559,,,"Breeze,Feel Free,Maria BBC,Radio 2,Mphangwe","Breeze,Feel Free,Maria BBC,Radio 2,Mphangwe","Breeze,Feel Free,Maria",Breeze,"Feel Free,Maria", , 
Maria,82280559,,,"Breeze,Feel Free,Maria BBC,Radio 2,Mphangwe","Breeze,Feel Free,Maria BBC,Radio 2,Mphangwe","Breeze,Feel Free,Maria",Breeze,"Feel Free,Maria", , 
FCC Solwezi,82282381,,,"Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,Radio Christian Voice,FCC Solwezi,Kabangabanga", ,"Radio 1,FCC Solwezi,Kabangabanga","Radio 2,Radio Christian Voice", 
Kabangabanga,82282381,,,"Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,Radio Christian Voice,FCC Solwezi,Kabangabanga", ,"Radio 1,FCC Solwezi,Kabangabanga","Radio 2,Radio Christian Voice", 
Radio 1,82282381,,,"Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,Radio Christian Voice,FCC Solwezi,Kabangabanga", ,"Radio 1,FCC Solwezi,Kabangabanga","Radio 2,Radio Christian Voice", 
Feel Free,82283478,,,"Breeze,Feel Free,Maria,Petauke Explorers Q FM,Radio 2","Breeze,Feel Free,Maria,Petauke Explorers Q FM,Radio 2","Radio 2,Breeze,Feel Free,Maria,","Breeze,Maria","Radio 2,Feel Free", , 
Radio 2,82283478,,,"Breeze,Feel Free,Maria,Petauke Explorers Q FM,Radio 2","Breeze,Feel Free,Maria,Petauke Explorers Q FM,Radio 2","Radio 2,Breeze,Feel Free,Maria,","Breeze,Maria","Radio 2,Feel Free", , 
Radio Christian Voice,82285814,,,"Radio Christian Voice,Mosi-0-Tunya Falls,Zambezi","Radio Christian Voice,Mosi-0-Tunya Falls,Zambezi",Radio Christian Voice, ,Radio Christian Voice, , 
Radio 1,82288535,,,"Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Radio 1,Radio 2,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga,", ,Radio 1,"Radio 2,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", 
Breeze,82290976,,,"Breeze,Feel Free Maria","Breeze,Feel Free Maria","Breeze,Feel Free,Maria","Feel Free,Maria",Breeze, , 
Feel Free,82290978,,,"Breeze,Feel Free Maria","Breeze,Feel Free Maria","Breeze,Feel Free,Maria","Breeze,Maria",Feel Free, , 
Breeze,82290979,,,"Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,",Feel Free,Breeze, , 
Feel Free,82290982,,,"Radio 2,Breeze,Feel Free,Maria Q FM","Radio 2,Breeze,Feel Free,Maria Q FM","Q FM,Radio 2,Breeze,Feel Free,Maria","Q FM,Breeze","Radio 2,Feel Free,Maria", , 
Radio 2,82290982,,,"Radio 2,Breeze,Feel Free,Maria Q FM","Radio 2,Breeze,Feel Free,Maria Q FM","Q FM,Radio 2,Breeze,Feel Free,Maria","Q FM,Breeze","Radio 2,Feel Free,Maria", , 
