Radio 4  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio 4  Yesterday
8:15  -  8:29,82183434,Copperbelt,Kitwe,Urban,Female,2,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
11:00  -  11:14,82183434,Copperbelt,Kitwe,Urban,Female,2,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
6:15  -  6:29,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,6:15  -  6:29
20:00  -  20:14,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
7:45  -  7:59,82188825,Copperbelt,Ndola,Urban,Male,1,One,AB,University completed,Other Christian,A business owner,AB,"K 6,103   -  K 7,892",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59"
6:00  -  6:14,82188825,Copperbelt,Ndola,Urban,Male,1,One,AB,University completed,Other Christian,A business owner,AB,"K 6,103   -  K 7,892",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59"
15:45  -  15:59,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
15:00  -  15:14,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
15:30  -  15:44,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
15:15  -  15:29,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:00  -  16:14,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:30  -  16:44,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:15  -  16:29,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:45  -  16:59,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
10:15  -  10:29,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:00  -  10:14,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
11:00  -  11:14,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:45  -  10:59,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:30  -  10:44,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
7:30  -  7:44,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,7:30  -  7:44
16:00  -  16:14,82286032,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,16:00  -  16:14
12:00  -  12:14,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29"
12:15  -  12:29,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29"
20:45  -  20:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:45  -  19:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16:30  -  16:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:15  -  19:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16:15  -  16:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
15:45  -  15:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
15:30  -  15:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
13:45  -  13:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:45  -  18:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16:00  -  16:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
14:30  -  14:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
13:00  -  13:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
17:30  -  17:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
14:15  -  14:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
14:45  -  14:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:30  -  18:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
17:00  -  17:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
