Komboni  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Komboni  Thursday
16:45  -  16:59,60567549,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
15:00  -  15:14,60567549,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
9:45  -  9:59,60567549,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
14:00  -  14:14,60567549,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
8:15  -  8:29,60567549,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
16:30  -  16:44,60567549,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
11:00  -  11:14,60567549,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
9:15  -  9:29,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8:00  -  8:14,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
7:00  -  7:14,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
7:15  -  7:29,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
6:30  -  6:44,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
6:45  -  6:59,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
7:30  -  7:44,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8:15  -  8:29,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
7:45  -  7:59,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8:30  -  8:44,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8:45  -  8:59,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:30  -  9:44,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:00  -  9:14,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
6:15  -  6:29,60610940,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:15  -  9:29,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:00  -  8:14,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:00  -  7:14,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:15  -  7:29,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:45  -  8:59,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:15  -  8:29,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:45  -  7:59,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:30  -  8:44,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:30  -  7:44,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
5:15  -  5:29,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
5:45  -  5:59,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:30  -  6:44,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:00  -  6:14,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:00  -  7:14,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:45  -  6:59,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
5:00  -  5:14,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:15  -  7:29,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:15  -  6:29,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
5:30  -  5:44,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
17:00  -  17:14,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:00  -  16:14,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:30  -  16:44,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:15  -  16:29,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:45  -  16:59,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
0:45  -  0:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
20:45  -  20:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
23:00  -  23:14,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
22:15  -  22:29,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
22:45  -  22:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
