Money FM analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Money FM
14:15  -  14:29,60658200,Central,Mkushi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,No,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,"
14:00  -  14:14,60658200,Central,Mkushi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,No,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,"
14:30  -  14:44,60658200,Central,Mkushi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,No,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,"
14:15  -  14:29,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,",,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,"
14:00  -  14:14,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,",,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,"
14:30  -  14:44,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,",,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,"
11:00  -  11:14,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
9:45  -  9:59,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
12:00  -  12:14,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
10:00  -  10:14,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
11:30  -  11:44,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
10:15  -  10:29,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
10:45  -  10:59,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
10:30  -  10:44,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
12:15  -  12:29,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
11:15  -  11:29,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
11:45  -  11:59,60826446,Central,Kapiri Mposhi,Rural,Male,1,One,C1,Completed high School,Roman Catholic,Self employed,D,Under K 849,Yes,45+,",,,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,,,,"
