Radio Mano  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Monday
10:30  -  10:44,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:15  -  6:29,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:30  -  19:44,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:15  -  19:29,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:45  -  19:59,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:00  -  19:14,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
6:30  -  6:44,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:30  -  20:44,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
6:00  -  6:14,60861540,Northern,Kasama,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
16:15  -  16:29,60888451,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,D,No Income,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,16:00  -  16:14,16:15  -  16:29"
6:15  -  6:29,60888451,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,D,No Income,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,16:00  -  16:14,16:15  -  16:29"
16:00  -  16:14,60888451,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,D,No Income,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,16:00  -  16:14,16:15  -  16:29"
6:30  -  6:44,60888451,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,D,No Income,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,16:00  -  16:14,16:15  -  16:29"
6:15  -  6:29,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,8:15  -  8:29,8:30  -  8:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
16:45  -  16:59,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,8:15  -  8:29,8:30  -  8:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
8:30  -  8:44,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,8:15  -  8:29,8:30  -  8:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
17:15  -  17:29,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,8:15  -  8:29,8:30  -  8:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
17:00  -  17:14,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,8:15  -  8:29,8:30  -  8:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
8:15  -  8:29,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,8:15  -  8:29,8:30  -  8:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
6:00  -  6:14,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,8:15  -  8:29,8:30  -  8:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
