,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
642,BBC,60583123,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,45+,Yesterday,Yesterday,"BBC,Radio Icengelo,Radio 1"
643,Radio Icengelo,60583123,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,45+,Yesterday,Yesterday,"BBC,Radio Icengelo,Radio 1"
644,Radio 1,60583123,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,45+,Yesterday,Yesterday,"BBC,Radio Icengelo,Radio 1"
645,Radio Icengelo,60583133,Copperbelt,Luanshya,Urban,Female,0,None,C2,Some high school,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,25 – 34,Past 12 Months,Past 7 Days,"Radio Icengelo,"
646,Lutanda,60583198,Northern,Kasama,Urban,Female,1,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
647,Kwithu FM,60583198,Northern,Kasama,Urban,Female,1,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
648,Radio Mano,60583198,Northern,Kasama,Urban,Female,1,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
649,Radio Mano,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Past 7 Days,Past 4 Weeks,Radio Mano
650,Lutanda,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
651,Kwithu FM,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
652,Radio Mano,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
653,Lutanda,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Lutanda,Kwithu FM,Radio Mano"
654,Kwithu FM,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Lutanda,Kwithu FM,Radio Mano"
655,Radio Mano,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Lutanda,Kwithu FM,Radio Mano"
656,Lutanda,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 7 Days,Past 7 Days,"Lutanda,Kwithu FM,Radio Mano"
657,Kwithu FM,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 7 Days,Past 7 Days,"Lutanda,Kwithu FM,Radio Mano"
658,Radio Mano,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 7 Days,Past 7 Days,"Lutanda,Kwithu FM,Radio Mano"
659,Radio Mano,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,Yesterday,Past 4 Weeks,Radio Mano
660,Phoenix FM,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,Past 7 Days,Past 7 Days,"Phoenix FM,Radio 1 "
661,Radio 1,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,Past 7 Days,Past 7 Days,"Phoenix FM,Radio 1 "
662,QFM,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Past 12 Months,Yesterday,"Radio Christian Voice,Kafue,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
663,Radio Christian Voice,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Past 12 Months,Yesterday,"Radio Christian Voice,Kafue,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
664,Radio 1,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Past 12 Months,Yesterday,"Radio Christian Voice,Kafue,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
665,Radio 2,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Past 12 Months,Yesterday,"Radio Christian Voice,Kafue,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
666,Kafue,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Past 12 Months,Yesterday,"Radio Christian Voice,Kafue,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
667,Phoenix FM,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Past 12 Months,Yesterday,"Radio Christian Voice,Kafue,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
668,Radio 2,60583349,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,19 – 24,Past 7 Days,Never,"Komboni Radio,Radio 2"
669,Komboni Radio,60583349,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,19 – 24,Past 7 Days,Never,"Komboni Radio,Radio 2"
670,Radio 1,60583350,Lusaka,Kafue,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,35 – 44,Past 7 Days,Never,Radio 1
671,FIVE FM,60583351,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,Past 4 Weeks,Never,FIVE FM
672,Millenium FM,60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,Past 12 Months,Past 4 Weeks,Millenium FM
673,FIVE FM,60583353,Lusaka,Kafue,Urban,Male,1,One,AB,Completed high School,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,35 – 44,Yesterday,Past 4 Weeks,"FIVE FM,Radio 2"
674,Radio 2,60583353,Lusaka,Kafue,Urban,Male,1,One,AB,Completed high School,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,35 – 44,Yesterday,Past 4 Weeks,"FIVE FM,Radio 2"
675,Petauke Explorers,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,Past 12 Months,Past 4 Weeks,"Petauke Explorers,Radio 1"
676,Radio 1,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,Past 12 Months,Past 4 Weeks,"Petauke Explorers,Radio 1"
677,PASME,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers"
678,Radio Breeze FM,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers"
679,Petauke Explorers,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers"
680,Radio 1,60584110,Muchinga,Nakonde,Urban,Female,0,None,C1,Some primary school,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,Past 7 Days,Past 7 Days,Radio 1
681,Isoka,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18,Past 4 Weeks,Past 4 Weeks,Isoka
682,Radio 1,60584112,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Housewife,C2,No Income,Yes,35 – 44,Past 12 Months,Yesterday,Radio 1
683,New Generation,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,Past 7 Days,Past 12 Months,"Kabangabanga,New Generation,Radio 1"
684,Kabangabanga,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,Past 7 Days,Past 12 Months,"Kabangabanga,New Generation,Radio 1"
685,Radio 1,60585280,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,Past 7 Days,Past 12 Months,"Kabangabanga,New Generation,Radio 1"
686,Solwezi FCC Radio,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 7 Days,"Solwezi FCC Radio,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
687,Parliament,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 7 Days,"Solwezi FCC Radio,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
688,Radio 2,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 7 Days,"Solwezi FCC Radio,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
689,Radio 1,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 7 Days,"Solwezi FCC Radio,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
690,Radio Christian Voice,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 7 Days,"Solwezi FCC Radio,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
691,New Generation,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 7 Days,"Solwezi FCC Radio,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
692,New Generation,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,Yesterday,Past 12 Months,"Solwezi FCC Radio,Kabangabanga,New Generation"
693,Kabangabanga,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,Yesterday,Past 12 Months,"Solwezi FCC Radio,Kabangabanga,New Generation"
694,Solwezi FCC Radio,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,Yesterday,Past 12 Months,"Solwezi FCC Radio,Kabangabanga,New Generation"
695,New Generation,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Beats,Kabangabanga,New Generation,Radio Christian Voice"
696,Kabangabanga,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Beats,Kabangabanga,New Generation,Radio Christian Voice"
697,Radio Christian Voice,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Beats,Kabangabanga,New Generation,Radio Christian Voice"
698,Beats,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Beats,Kabangabanga,New Generation,Radio Christian Voice"
699,New Generation,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
700,Kabangabanga,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
701,Solwezi FCC Radio,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
702,Radio Christian Voice,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
703,New Generation,60585285,North-Western,Solwezi,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 4 Weeks,"Solwezi FCC Radio,Kabangabanga,New Generation"
704,Kabangabanga,60585285,North-Western,Solwezi,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 4 Weeks,"Solwezi FCC Radio,Kabangabanga,New Generation"
705,Solwezi FCC Radio,60585285,North-Western,Solwezi,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 4 Weeks,"Solwezi FCC Radio,Kabangabanga,New Generation"
706,New Generation,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
707,Kabangabanga,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
708,Solwezi FCC Radio,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
709,Radio Christian Voice,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Solwezi FCC Radio,Kabangabanga,New Generation,Radio Christian Voice"
710,Hot FM,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 4 Weeks,Hot FM
711,Feel Free,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Past 4 Weeks,"Feel Free,Radio Maria,Radio 1,Radio 1 "
712,Radio Maria,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Past 4 Weeks,"Feel Free,Radio Maria,Radio 1,Radio 1 "
713,Radio 1,60585802,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Past 4 Weeks,"Feel Free,Radio Maria,Radio 1,Radio 1 "
714,Feel Free,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,Yesterday,Past 12 Months,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1"
715,Radio Maria,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,Yesterday,Past 12 Months,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1"
716,Radio Breeze FM,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,Yesterday,Past 12 Months,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1"
717,Radio 1,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,Yesterday,Past 12 Months,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1"
718,QFM,60587835,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,35 – 44,Yesterday,Past 4 Weeks,"QFM,Radio Christian Voice"
719,Radio Christian Voice,60587835,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,35 – 44,Yesterday,Past 4 Weeks,"QFM,Radio Christian Voice"
720,Radio Christian Voice,60587836,Lusaka,Lusaka,Urban,Male,1,None,C2,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24,Yesterday,Past 7 Days,"Radio Christian Voice,Radio 1"
721,Radio 1,60587836,Lusaka,Lusaka,Urban,Male,1,None,C2,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24,Yesterday,Past 7 Days,"Radio Christian Voice,Radio 1"
722,BBC,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,Yesterday,Past 4 Weeks,"BBC,FLAVA FM,Radio Icengelo,Phoenix FM,Radio 1"
723,Radio 1,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,Yesterday,Past 4 Weeks,"BBC,FLAVA FM,Radio Icengelo,Phoenix FM,Radio 1"
724,Phoenix FM,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,Yesterday,Past 4 Weeks,"BBC,FLAVA FM,Radio Icengelo,Phoenix FM,Radio 1"
725,FLAVA FM,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,Yesterday,Past 4 Weeks,"BBC,FLAVA FM,Radio Icengelo,Phoenix FM,Radio 1"
726,Radio Icengelo,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,Yesterday,Past 4 Weeks,"BBC,FLAVA FM,Radio Icengelo,Phoenix FM,Radio 1"
727,Radio Christian Voice,60588021,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,Past 7 Days,Never,Radio Christian Voice
728,Radio Christian Voice,60588023,Central,Kapiri Mposhi,Urban,Female,2,None,C2,Some high school,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Never,"Radio 1,Radio 2,Radio Christian Voice"
729,Radio 2,60588023,Central,Kapiri Mposhi,Urban,Female,2,None,C2,Some high school,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Never,"Radio 1,Radio 2,Radio Christian Voice"
730,Radio 1,60588023,Central,Kapiri Mposhi,Urban,Female,2,None,C2,Some high school,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Never,"Radio 1,Radio 2,Radio Christian Voice"
731,Radio 1,60588024,Central,Kapiri Mposhi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",No,35 – 44,Past 7 Days,Never,Radio 1
732,KNCRADIO,60588027,Central,Kapiri Mposhi,Urban,Male,0,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Radio Christian Voice"
733,Radio Christian Voice,60588027,Central,Kapiri Mposhi,Urban,Male,0,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Radio Christian Voice"
734,Mosi--Tunya,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,Past 7 Days,Past 12 Months,Mosi--Tunya
735,Zambezi FM,60588155,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,Past 7 Days,Past 7 Days,Zambezi FM
736,Zambezi FM,60588161,Southern,Livingstone,Urban,Female,0,None,C1,University completed,Seventh Day Adventists,Self employed,D,"K 2,500   -  K 3,154",Yes,35 – 44,Past 12 Months,Past 7 Days,Zambezi FM
737,Zambezi FM,60588168,Southern,Livingstone,Urban,Female,1,Two or More,AB,Some university,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,Past 12 Months,Past 7 Days,Zambezi FM
738,Mosi--Tunya,60588170,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Others,Working Part-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Mosi--Tunya,Sky FM,Zambezi FM"
739,Sky FM,60588170,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Others,Working Part-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Mosi--Tunya,Sky FM,Zambezi FM"
740,Zambezi FM,60588170,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Others,Working Part-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Mosi--Tunya,Sky FM,Zambezi FM"
741,BBC,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 7 Days,"BBC,Radio 1,"
742,Radio 1,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 7 Days,"BBC,Radio 1,"
743,Phoenix FM,60588791,Central,Chibombo,Rural,Female,1,None,C2,No formal education,Seventh Day Adventists,Housewife,D,Under K 849,Yes,35 – 44,Yesterday,Past 7 Days,"Phoenix FM,Radio 1"
744,Radio 1,60588791,Central,Chibombo,Rural,Female,1,None,C2,No formal education,Seventh Day Adventists,Housewife,D,Under K 849,Yes,35 – 44,Yesterday,Past 7 Days,"Phoenix FM,Radio 1"
745,Radio 1,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,Past 4 Weeks,Never,Radio 1
746,Radio 1,60588793,Central,Chibombo,Rural,Male,0,None,D,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Yesterday,Never,"Radio 1,"
747,Phoenix FM,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,Past 7 Days,Past 7 Days,"Maranatha,Phoenix FM"
748,Maranatha,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,Past 7 Days,Past 7 Days,"Maranatha,Phoenix FM"
749,Phoenix FM,60588795,Central,Chibombo,Rural,Female,2,None,C2,Primary school completed,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Past 7 Days,Never,"Phoenix FM,Radio 1,"
750,Radio 1,60588795,Central,Chibombo,Rural,Female,2,None,C2,Primary school completed,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Past 7 Days,Never,"Phoenix FM,Radio 1,"
751,Phoenix FM,60588796,Central,Chibombo,Rural,Male,1,None,C2,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+,Yesterday,Past 7 Days,"Phoenix FM,Radio 1"
752,Radio 1,60588796,Central,Chibombo,Rural,Male,1,None,C2,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+,Yesterday,Past 7 Days,"Phoenix FM,Radio 1"
753,Radio 1,60588797,Central,Chibombo,Rural,Female,1,None,C2,Some primary school,Others,Housewife,D,Under K 849,Yes,45+,Past 7 Days,Past 7 Days,Radio 1
754,QFM,60595421,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Komboni Radio,Phoenix FM,QFM,Radio 2"
755,Phoenix FM,60595421,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Komboni Radio,Phoenix FM,QFM,Radio 2"
