Petauke Explorers analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers
7:45  -  7:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
23:00  -  23:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
19:45  -  19:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
7:00  -  7:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
19:00  -  19:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
21:30  -  21:44,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
23:45  -  23:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
12:00  -  12:14,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,",,12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59,,7:00  -  7:14,7:45  -  7:59,,,"
7:45  -  7:59,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,",,12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59,,7:00  -  7:14,7:45  -  7:59,,,"
14:00  -  14:14,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,",,12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59,,7:00  -  7:14,7:45  -  7:59,,,"
14:45  -  14:59,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,",,12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59,,7:00  -  7:14,7:45  -  7:59,,,"
7:00  -  7:14,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,",,12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59,,7:00  -  7:14,7:45  -  7:59,,,"
12:45  -  12:59,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,",,12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59,,7:00  -  7:14,7:45  -  7:59,,,"
11:45  -  11:59,60651318,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",No,19 – 24,",,,,,10:00  -  10:14,11:45  -  11:59,,"
10:00  -  10:14,60651318,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",No,19 – 24,",,,,,10:00  -  10:14,11:45  -  11:59,,"
7:00  -  7:14,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,",,7:00  -  7:14,8:45  -  8:59,,,,,"
8:45  -  8:59,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,",,7:00  -  7:14,8:45  -  8:59,,,,,"
10:45  -  10:59,60688036,Eastern,Petauke,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",No,35 – 44,",,,,,,,10:00  -  10:14,10:45  -  10:59"
10:00  -  10:14,60688036,Eastern,Petauke,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",No,35 – 44,",,,,,,,10:00  -  10:14,10:45  -  10:59"
21:00  -  21:14,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
21:45  -  21:59,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
7:45  -  7:59,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
7:00  -  7:14,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
21:30  -  21:44,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
21:15  -  21:29,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
6:30  -  6:44,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
19:30  -  19:44,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
10:00  -  10:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
6:45  -  6:59,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
19:45  -  19:59,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
10:30  -  10:44,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
19:00  -  19:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
6:00  -  6:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
19:15  -  19:29,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,10:00  -  10:14,10:30  -  10:44,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
9:45  -  9:59,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59,9:45  -  9:59,,,,,,,"
7:45  -  7:59,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59,9:45  -  9:59,,,,,,,"
7:00  -  7:14,60688039,Eastern,Petauke,Urban,Female,0,None,C2,Some primary school,Roman Catholic,Working Full-Time,D,Under K 849,No,45+,"7:00  -  7:14,7:45  -  7:59,9:45  -  9:59,,,,,,,"
20:30  -  20:44,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,"
20:45  -  20:59,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,"
20:00  -  20:14,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,"
20:15  -  20:29,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,"
6:30  -  6:44,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
19:30  -  19:44,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
6:45  -  6:59,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
19:45  -  19:59,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
19:00  -  19:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
6:00  -  6:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
19:15  -  19:29,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,"
20:15  -  20:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
19:30  -  19:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
7:15  -  7:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
9:45  -  9:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
7:45  -  7:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
20:00  -  20:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
7:30  -  7:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
17:00  -  17:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
10:00  -  10:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
20:45  -  20:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
19:45  -  19:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
7:00  -  7:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
10:15  -  10:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
10:30  -  10:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
10:45  -  10:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
19:00  -  19:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
20:30  -  20:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
17:30  -  17:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
19:15  -  19:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
17:15  -  17:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59,,,,,"
8:45  -  8:59,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59,,,,,"
9:45  -  9:59,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59,,,,,"
8:15  -  8:29,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59,,,,,"
