Komboni  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Komboni  Sunday
7:45  -  7:59,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:30  -  8:44,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:30  -  7:44,60616146,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
5:15  -  5:29,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
5:45  -  5:59,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:30  -  6:44,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:00  -  6:14,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:00  -  7:14,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:45  -  6:59,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
5:00  -  5:14,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:15  -  7:29,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:15  -  6:29,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
5:30  -  5:44,60616147,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
15:15  -  15:29,60627780,Lusaka,Lusaka,Urban,Female,0,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,No,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
15:00  -  15:14,60627780,Lusaka,Lusaka,Urban,Female,0,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,No,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
15:30  -  15:44,60627780,Lusaka,Lusaka,Urban,Female,0,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,No,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44"
4:00  -  4:14,60685300,Lusaka,Kafue,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"4:00  -  4:14,8:00  -  8:14"
8:00  -  8:14,60685300,Lusaka,Kafue,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"4:00  -  4:14,8:00  -  8:14"
17:45  -  17:59,60685304,Lusaka,Kafue,Rural,Female,3,None,C2,Primary school completed,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",No,45+,"17:45  -  17:59,20:30  -  20:44"
20:30  -  20:44,60685304,Lusaka,Kafue,Rural,Female,3,None,C2,Primary school completed,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",No,45+,"17:45  -  17:59,20:30  -  20:44"
15:15  -  15:29,60685306,Lusaka,Kafue,Rural,Female,1,None,C1,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,15:15  -  15:29"
7:00  -  7:14,60685306,Lusaka,Kafue,Rural,Female,1,None,C1,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,15:15  -  15:29"
21:00  -  21:14,60724809,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22:15  -  22:29,60724809,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22:00  -  22:14,60724809,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:15  -  21:29,60724809,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:30  -  21:44,60724809,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:45  -  21:59,60724809,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
14:00  -  14:14,60726251,Lusaka,Kafue,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Part-Time,D,Under K 849,Yes,45+,"10:00  -  10:14,14:00  -  14:14"
10:00  -  10:14,60726251,Lusaka,Kafue,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Part-Time,D,Under K 849,Yes,45+,"10:00  -  10:14,14:00  -  14:14"
15:30  -  15:44,60752644,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,25 – 34,"10:00  -  10:14,15:30  -  15:44"
10:00  -  10:14,60752644,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,25 – 34,"10:00  -  10:14,15:30  -  15:44"
10:15  -  10:29,60762550,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:45  -  9:59,60762550,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:00  -  10:14,60762550,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:30  -  9:44,60762550,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60762550,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:15  -  9:29,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:00  -  8:14,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:45  -  9:59,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:00  -  7:14,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6:30  -  6:44,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:15  -  7:29,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6:45  -  6:59,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:15  -  8:29,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:45  -  8:59,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:45  -  7:59,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:30  -  8:44,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:30  -  9:44,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:00  -  9:14,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:30  -  7:44,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:00  -  7:14,60762557,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,60762557,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,60762557,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,60762557,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,60762557,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
8:00  -  8:14,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:15  -  11:29,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
22:15  -  22:29,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:45  -  7:59,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:45  -  10:59,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:30  -  10:44,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:15  -  9:29,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:45  -  8:59,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:00  -  10:14,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:15  -  21:29,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
