BBC analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC
12:15  -  12:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:30  -  12:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
15:15  -  15:29,60562094,Lusaka,Kafue,Urban,Female,0,None,AB,Some high school,Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",15:15  -  15:29,19:45  -  19:59,,,,,,"
19:45  -  19:59,60562094,Lusaka,Kafue,Urban,Female,0,None,AB,Some high school,Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,",15:15  -  15:29,19:45  -  19:59,,,,,,"
19:45  -  19:59,60574364,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,University completed,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",19:45  -  19:59,20:15  -  20:29,,,,,,5:00  -  5:14,8:00  -  8:14"
20:15  -  20:29,60574364,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,University completed,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",19:45  -  19:59,20:15  -  20:29,,,,,,5:00  -  5:14,8:00  -  8:14"
5:00  -  5:14,60574364,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,University completed,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",19:45  -  19:59,20:15  -  20:29,,,,,,5:00  -  5:14,8:00  -  8:14"
8:00  -  8:14,60574364,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,University completed,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",19:45  -  19:59,20:15  -  20:29,,,,,,5:00  -  5:14,8:00  -  8:14"
8:45  -  8:59,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
7:15  -  7:29,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
7:45  -  7:59,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
8:15  -  8:29,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
7:30  -  7:44,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
7:00  -  7:14,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
8:00  -  8:14,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
8:30  -  8:44,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,,"
11:00  -  11:14,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
9:30  -  9:44,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
8:45  -  8:59,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
9:45  -  9:59,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
12:00  -  12:14,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
8:15  -  8:29,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
10:00  -  10:14,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
11:15  -  11:29,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
11:30  -  11:44,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
9:15  -  9:29,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
10:15  -  10:29,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
8:00  -  8:14,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
10:30  -  10:44,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
10:45  -  10:59,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
12:15  -  12:29,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
12:30  -  12:44,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
11:45  -  11:59,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
9:00  -  9:14,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
12:45  -  12:59,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
8:30  -  8:44,60581149,Copperbelt,Mufulira,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,No,35 – 44,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,"
15:45  -  15:59,60583123,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,45+,",,,,,,,13:00  -  13:14,15:45  -  15:59"
13:00  -  13:14,60583123,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,45+,",,,,,,,13:00  -  13:14,15:45  -  15:59"
20:00  -  20:14,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,",,15:00  -  15:14,20:00  -  20:14,,,,,"
15:00  -  15:14,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,",,15:00  -  15:14,20:00  -  20:14,,,,,"
5:15  -  5:29,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,",,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,"
5:30  -  5:44,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,",,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,"
5:00  -  5:14,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,",,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,"
6:00  -  6:14,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,",,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,"
5:45  -  5:59,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,",,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,,,,,"
7:15  -  7:29,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,"
7:45  -  7:59,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,"
7:30  -  7:44,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,"
7:00  -  7:14,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,"
8:00  -  8:14,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,"
6:00  -  6:14,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,",5:45  -  5:59,6:00  -  6:14,6:30  -  6:44,,,,,,"
5:45  -  5:59,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,",5:45  -  5:59,6:00  -  6:14,6:30  -  6:44,,,,,,"
6:30  -  6:44,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,",5:45  -  5:59,6:00  -  6:14,6:30  -  6:44,,,,,,"
19:00  -  19:14,60598338,Copperbelt,Kalulushi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"19:00  -  19:14,,,,,,,"
11:15  -  11:29,60606893,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Self employed,C2,"K 6,103   -  K 7,892",Yes,45+,"11:15  -  11:29,15:00  -  15:14,,,,,,,"
15:00  -  15:14,60606893,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Self employed,C2,"K 6,103   -  K 7,892",Yes,45+,"11:15  -  11:29,15:00  -  15:14,,,,,,,"
6:00  -  6:14,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,"
6:45  -  6:59,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,"
6:30  -  6:44,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,"
6:15  -  6:29,60635406,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,"
7:15  -  7:29,60641532,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,"
7:45  -  7:59,60641532,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,"
7:30  -  7:44,60641532,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,"
7:00  -  7:14,60641532,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,"
8:00  -  8:14,60641532,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,"
12:00  -  12:14,60664687,Copperbelt,Kalulushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,K 850-K 1674,Yes,19 – 24,"12:00  -  12:14,,,,,,,"
11:00  -  11:14,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,",,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
12:00  -  12:14,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,",,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
13:00  -  13:14,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,",,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
