Radio Christian Voice  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Christian Voice  Friday
23:00  -  23:14,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
22:15  -  22:29,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
22:45  -  22:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
20:30  -  20:44,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
0:30  -  0:44,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
0:15  -  0:29,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
23:30  -  23:44,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
21:15  -  21:29,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
21:30  -  21:44,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
21:45  -  21:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
1:00  -  1:14,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
23:15  -  23:29,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
21:00  -  21:14,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
22:30  -  22:44,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
22:00  -  22:14,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
23:45  -  23:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
20:15  -  20:29,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
0:00  -  0:14,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
20:00  -  20:14,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
21:15  -  21:29,60654806,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,",21:15  -  21:29"
23:00  -  23:14,60709856,Copperbelt,Mufulira,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,60709856,Copperbelt,Mufulira,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60709856,Copperbelt,Mufulira,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:30  -  23:44,60709856,Copperbelt,Mufulira,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
8:30  -  8:44,60726254,Lusaka,Kafue,Rural,Male,2,None,C2,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,45+,",6:00  -  6:14,8:30  -  8:44"
6:00  -  6:14,60726254,Lusaka,Kafue,Rural,Male,2,None,C2,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,45+,",6:00  -  6:14,8:30  -  8:44"
18:30  -  18:44,60743764,Copperbelt,Mufulira,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:00  -  18:14,60743764,Copperbelt,Mufulira,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60743764,Copperbelt,Mufulira,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60743764,Copperbelt,Mufulira,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
17:00  -  17:14,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:00  -  16:14,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:30  -  16:44,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:15  -  16:29,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:45  -  16:59,60776183,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
9:15  -  9:29,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,",6:00  -  6:14,9:15  -  9:29,18:00  -  18:14,20:15  -  20:29"
18:00  -  18:14,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,",6:00  -  6:14,9:15  -  9:29,18:00  -  18:14,20:15  -  20:29"
6:00  -  6:14,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,",6:00  -  6:14,9:15  -  9:29,18:00  -  18:14,20:15  -  20:29"
20:15  -  20:29,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,",6:00  -  6:14,9:15  -  9:29,18:00  -  18:14,20:15  -  20:29"
20:30  -  20:44,60825710,Copperbelt,Mufulira,Urban,Female,1,None,C2,Completed high School,Others,Housewife,Do not know,No Income,Yes,19 – 24,",20:30  -  20:44"
21:45  -  21:59,82089608,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,",21:00  -  21:14,21:45  -  21:59"
21:00  -  21:14,82089608,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,",21:00  -  21:14,21:45  -  21:59"
20:15  -  20:29,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
20:45  -  20:59,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
20:00  -  20:14,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:00  -  21:14,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
19:45  -  19:59,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:15  -  22:29,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:30  -  21:44,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
19:30  -  19:44,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:30  -  22:44,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
19:15  -  19:29,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:00  -  22:14,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:15  -  21:29,82095349,Southern,Livingstone,Urban,Male,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
