FCC Solwezi analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,FCC Solwezi
7:30  -  7:44,82111073,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,A housewife/househusband,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29"
10:00  -  10:14,82111073,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,A housewife/househusband,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29"
7:00  -  7:14,82111073,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,A housewife/househusband,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29"
10:15  -  10:29,82111073,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,A housewife/househusband,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29"
8:00  -  8:14,82111073,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,A housewife/househusband,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29"
12:15  -  12:29,82111074,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,82111074,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,82111074,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
6:30  -  6:44,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
5:15  -  5:29,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
5:30  -  5:44,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
5:00  -  5:14,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:15  -  6:29,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:00  -  6:14,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
5:45  -  5:59,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
14:15  -  14:29,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:30  -  14:44,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:00  -  10:14,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:15  -  10:29,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:30  -  10:44,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
6:00  -  6:14,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29"
6:15  -  6:29,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29,,6:00  -  6:14,6:15  -  6:29,6:00  -  6:14,6:15  -  6:29"
9:30  -  9:44,82180574,North-Western,Solwezi,Urban,Male,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
