Icengelo  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Wednesday
20:15  -  20:29,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:00  -  20:14,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
19:30  -  19:44,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60745447,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"20:00  -  20:14,21:45  -  21:59"
21:45  -  21:59,60745447,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"20:00  -  20:14,21:45  -  21:59"
20:45  -  20:59,60745448,Copperbelt,Ndola,Urban,Female,0,None,C2,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"19:15  -  19:29,20:45  -  20:59"
19:15  -  19:29,60745448,Copperbelt,Ndola,Urban,Female,0,None,C2,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,"19:15  -  19:29,20:45  -  20:59"
8:45  -  8:59,60745451,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Housewife,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,8:45  -  8:59"
6:00  -  6:14,60745451,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Housewife,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,8:45  -  8:59"
20:00  -  20:14,60747296,Copperbelt,Kitwe,Rural,Male,1,One,C1,Completed high School,Others,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:30  -  20:44,60747296,Copperbelt,Kitwe,Rural,Male,1,One,C1,Completed high School,Others,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60747296,Copperbelt,Kitwe,Rural,Male,1,One,C1,Completed high School,Others,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:45  -  20:59,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60749750,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"20:00  -  20:14,20:30  -  20:44"
20:30  -  20:44,60749750,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"20:00  -  20:14,20:30  -  20:44"
17:00  -  17:14,60777503,Copperbelt,Ndola,Rural,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:15  -  17:29,60777503,Copperbelt,Ndola,Rural,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:30  -  17:44,60777503,Copperbelt,Ndola,Rural,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:45  -  17:59,60777503,Copperbelt,Ndola,Rural,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
8:45  -  8:59,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,"6:00  -  6:14,8:45  -  8:59,18:00  -  18:14,19:45  -  19:59"
6:00  -  6:14,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,"6:00  -  6:14,8:45  -  8:59,18:00  -  18:14,19:45  -  19:59"
18:00  -  18:14,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,"6:00  -  6:14,8:45  -  8:59,18:00  -  18:14,19:45  -  19:59"
19:45  -  19:59,60778658,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Retired - voluntary scholarspensioners,D,K 850-K 1674,No,45+,"6:00  -  6:14,8:45  -  8:59,18:00  -  18:14,19:45  -  19:59"
8:30  -  8:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:00  -  8:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:15  -  7:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:15  -  8:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:45  -  7:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:00  -  7:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:30  -  7:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
6:00  -  6:14,82090749,Copperbelt,Kitwe,Urban,Female,1,None,D,Primary school completed,Other Christian,Other (specify),D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,9:00  -  9:14"
9:00  -  9:14,82090749,Copperbelt,Kitwe,Urban,Female,1,None,D,Primary school completed,Other Christian,Other (specify),D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,9:00  -  9:14"
7:15  -  7:29,82093272,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,7:15  -  7:29,20:00  -  20:14,21:15  -  21:29,1:15  -  1:29"
1:15  -  1:29,82093272,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,7:15  -  7:29,20:00  -  20:14,21:15  -  21:29,1:15  -  1:29"
6:00  -  6:14,82093272,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,7:15  -  7:29,20:00  -  20:14,21:15  -  21:29,1:15  -  1:29"
20:00  -  20:14,82093272,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,7:15  -  7:29,20:00  -  20:14,21:15  -  21:29,1:15  -  1:29"
21:15  -  21:29,82093272,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,7:15  -  7:29,20:00  -  20:14,21:15  -  21:29,1:15  -  1:29"
21:00  -  21:14,82098177,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,No,19 – 24,"21:00  -  21:14,21:30  -  21:44"
21:30  -  21:44,82098177,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,No,19 – 24,"21:00  -  21:14,21:30  -  21:44"
15:00  -  15:14,82102463,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,35 – 44,"14:00  -  14:14,15:00  -  15:14"
14:00  -  14:14,82102463,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,35 – 44,"14:00  -  14:14,15:00  -  15:14"
7:45  -  7:59,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59,12:00  -  12:14,12:45  -  12:59,18:00  -  18:14,18:45  -  18:59"
12:00  -  12:14,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59,12:00  -  12:14,12:45  -  12:59,18:00  -  18:14,18:45  -  18:59"
18:00  -  18:14,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59,12:00  -  12:14,12:45  -  12:59,18:00  -  18:14,18:45  -  18:59"
12:45  -  12:59,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59,12:00  -  12:14,12:45  -  12:59,18:00  -  18:14,18:45  -  18:59"
6:00  -  6:14,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59,12:00  -  12:14,12:45  -  12:59,18:00  -  18:14,18:45  -  18:59"
18:45  -  18:59,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59,12:00  -  12:14,12:45  -  12:59,18:00  -  18:14,18:45  -  18:59"
3:00  -  3:14,82105099,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,3:00  -  3:14
7:00  -  7:14,82105100,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,45+,7:00  -  7:14
5:45  -  5:59,82105101,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,5:45  -  5:59
20:45  -  20:59,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:00  -  21:14,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:30  -  20:44,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:15  -  21:29,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
10:00  -  10:14,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,10:00  -  10:14
12:00  -  12:14,82182407,Copperbelt,Ndola,Urban,Male,2,One,C2,Some high school,Other Christian,Student,C2,"K 43,168 and above",Yes,25 – 34,12:00  -  12:14
19:45  -  19:59,82183434,Copperbelt,Kitwe,Urban,Female,2,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,82183434,Copperbelt,Kitwe,Urban,Female,2,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,82183434,Copperbelt,Kitwe,Urban,Female,2,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,82183434,Copperbelt,Kitwe,Urban,Female,2,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,82183434,Copperbelt,Kitwe,Urban,Female,2,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
7:15  -  7:29,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,7:15  -  7:29
9:45  -  9:59,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
10:00  -  10:14,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
9:00  -  9:14,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:45  -  16:59,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:30  -  16:44,82185923,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,Other (specify),C2,Refusal [Do not show],No,35 – 44,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:00  -  6:14,82188309,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some primary school,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,6:00  -  6:14
7:00  -  7:14,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,7:00  -  7:14
6:15  -  6:29,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
11:45  -  11:59,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
10:30  -  10:44,82194313,Copperbelt,Kitwe,Urban,Female,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
