,E Africa  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E Africa  Tueday
66,15:45  -  15:59,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
67,13:00  -  13:14,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
68,17:15  -  17:29,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
69,16:00  -  16:14,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
70,14:45  -  14:59,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
71,16:45  -  16:59,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
72,16:15  -  16:29,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
73,14:15  -  14:29,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
74,15:00  -  15:14,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
75,17:30  -  17:44,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
76,14:00  -  14:14,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
77,13:30  -  13:44,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
78,15:30  -  15:44,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
79,14:30  -  14:44,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
80,13:15  -  13:29,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
81,16:30  -  16:44,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
82,15:15  -  15:29,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
83,13:45  -  13:59,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
84,14:15  -  14:29,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
85,14:45  -  14:59,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
86,14:00  -  14:14,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
87,13:30  -  13:44,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
88,13:00  -  13:14,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
89,14:30  -  14:44,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
90,13:15  -  13:29,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
91,13:45  -  13:59,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
92,14:00  -  14:14,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
93,13:30  -  13:44,60712336,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Muslim,Housewife,D,K 850-K 1674,Yes,19 – 24,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
94,20:15  -  20:29,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
95,21:00  -  21:14,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
96,20:00  -  20:14,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
97,20:45  -  20:59,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
98,20:30  -  20:44,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
99,13:00  -  13:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
100,15:00  -  15:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
101,17:45  -  17:59,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
102,9:00  -  9:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
103,13:45  -  13:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
104,12:45  -  12:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
105,12:00  -  12:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
106,13:30  -  13:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
107,13:00  -  13:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
108,13:15  -  13:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
109,12:15  -  12:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
110,12:30  -  12:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
