,BBC World News  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC World News  Friday
72,20:45  -  20:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
73,7:00  -  7:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
74,10:30  -  10:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
75,21:15  -  21:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
76,7:30  -  7:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
77,16:00  -  16:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
78,20:00  -  20:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
79,17:00  -  17:14,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
80,17:15  -  17:29,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
81,17:45  -  17:59,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
82,17:30  -  17:44,60560910,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
83,8:15  -  8:29,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29"
84,8:00  -  8:14,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29"
85,7:00  -  7:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
86,6:30  -  6:44,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
87,7:15  -  7:29,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
88,7:30  -  7:44,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
89,6:45  -  6:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
90,19:00  -  19:14,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
91,18:45  -  18:59,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
92,19:45  -  19:59,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
93,20:45  -  20:59,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
94,18:15  -  18:29,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
95,18:00  -  18:14,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
96,20:15  -  20:29,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
97,19:15  -  19:29,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
98,20:30  -  20:44,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
99,18:30  -  18:44,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
100,20:00  -  20:14,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
101,19:30  -  19:44,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
102,23:00  -  23:14,60668604,Eastern,Petauke,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,19 – 24,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
103,23:45  -  23:59,60668604,Eastern,Petauke,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,19 – 24,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
104,23:30  -  23:44,60668604,Eastern,Petauke,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,19 – 24,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
105,23:15  -  23:29,60668604,Eastern,Petauke,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 1675- K2,499",Yes,19 – 24,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
106,17:00  -  17:14,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,"16:00  -  16:14,17:00  -  17:14,17:15  -  17:29"
107,16:00  -  16:14,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,"16:00  -  16:14,17:00  -  17:14,17:15  -  17:29"
108,17:15  -  17:29,60685303,Lusaka,Kafue,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 2,500   -  K 3,154",Yes,25 – 34,"16:00  -  16:14,17:00  -  17:14,17:15  -  17:29"
109,19:00  -  19:14,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+," ,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
110,19:45  -  19:59,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+," ,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
111,20:15  -  20:29,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+," ,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
112,19:15  -  19:29,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+," ,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
113,20:00  -  20:14,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+," ,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
114,19:30  -  19:44,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+," ,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
115,4:15  -  4:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
116,5:30  -  5:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
117,4:30  -  4:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
118,5:45  -  5:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
119,5:15  -  5:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
120,5:00  -  5:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
121,4:00  -  4:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
122,4:45  -  4:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
123,19:00  -  19:14,82024076,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29"
124,19:15  -  19:29,82024076,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29"
125,21:00  -  21:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
126,20:45  -  20:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
127,22:00  -  22:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
128,21:30  -  21:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
129,20:15  -  20:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
130,21:15  -  21:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
131,20:30  -  20:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
132,21:45  -  21:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
133,20:00  -  20:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
134,20:30  -  20:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
135,20:15  -  20:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
136,20:00  -  20:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
137,7:00  -  7:14,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
138,7:15  -  7:29,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
139,7:45  -  7:59,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
140,7:30  -  7:44,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
141,17:00  -  17:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
142,17:15  -  17:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
143,17:45  -  17:59,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
144,17:30  -  17:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
145,21:30  -  21:44,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,21:30  -  21:44
146,10:45  -  10:59,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
147,10:00  -  10:14,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
148,21:15  -  21:29,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,21:15  -  21:29
149,10:15  -  10:29,82532621,Copperbelt,Ndola,Urban,Male,2,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,10:15  -  10:29
150,8:30  -  8:44,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"8:30  -  8:44,8:45  -  8:59"
151,8:45  -  8:59,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"8:30  -  8:44,8:45  -  8:59"
152,8:45  -  8:59,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,8:45  -  8:59
153,21:30  -  21:44,82203389,North-Western,Solwezi,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,C2,Under K 849,Yes,25 – 34,"21:15  -  21:29,21:30  -  21:44"
154,21:15  -  21:29,82203389,North-Western,Solwezi,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,C2,Under K 849,Yes,25 – 34,"21:15  -  21:29,21:30  -  21:44"
155,7:00  -  7:14,82267632,Copperbelt,Ndola,Urban,Male,2,Two or More,C2,Some university,Other Christian,Student,C2,Do not know,Yes,25 – 34,7:00  -  7:14
156,15:00  -  15:14,82449716,Copperbelt,Ndola,Urban,Male,1,One,C2,Some university,Other Christian,Refused/ don’t know (DON’T READ),C2,Refusal [Do not show],Yes,35 – 44,"15:00  -  15:14,15:45  -  15:59"
157,15:45  -  15:59,82449716,Copperbelt,Ndola,Urban,Male,1,One,C2,Some university,Other Christian,Refused/ don’t know (DON’T READ),C2,Refusal [Do not show],Yes,35 – 44,"15:00  -  15:14,15:45  -  15:59"
158,11:00  -  11:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
159,11:15  -  11:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
160,11:30  -  11:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
161,11:45  -  11:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
