,African Movie Channel AMC  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African Movie Channel AMC  Monday
69,21:00  -  21:14,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
70,23:00  -  23:14,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
71,20:45  -  20:59,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
72,22:00  -  22:14,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
73,21:30  -  21:44,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
74,20:15  -  20:29,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
75,19:15  -  19:29,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
76,21:15  -  21:29,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
77,20:30  -  20:44,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
78,22:30  -  22:44,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
79,21:45  -  21:59,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
80,22:45  -  22:59,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
81,20:00  -  20:14,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
82,19:30  -  19:44,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
83,7:15  -  7:29,82456633,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,7:15  -  7:29
84,11:15  -  11:29,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
85,9:30  -  9:44,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
86,10:30  -  10:44,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
87,9:45  -  9:59,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
88,11:30  -  11:44,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
89,11:45  -  11:59,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
90,11:00  -  11:14,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
91,10:45  -  10:59,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
92,12:00  -  12:14,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
93,9:15  -  9:29,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
94,10:00  -  10:14,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
95,9:00  -  9:14,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
96,10:15  -  10:29,82458418,Copperbelt,Kitwe,Urban,Female,3,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
97,10:00  -  10:14,82459343,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,10:00  -  10:14
98,12:30  -  12:44,82498315,Copperbelt,Ndola,Urban,Female,1,One,C1,Some primary school,Other Christian,A commercial farmer/fisherman,C1,Refusal [Do not show],Yes,19 – 24,12:30  -  12:44
99,17:45  -  17:59,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,17:45  -  17:59
100,13:00  -  13:14,82182407,Copperbelt,Ndola,Urban,Male,2,One,C2,Some high school,Other Christian,Student,C2,"K 43,168 and above",Yes,25 – 34,13:00  -  13:14
101,19:15  -  19:29,82274452,Copperbelt,Kitwe,Urban,Female,1,None,C2,Primary school completed,Other Christian,A business owner,C2,K 850-K 1674,No,35 – 44,19:15  -  19:29
102,13:00  -  13:14,82536066,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,"13:00  -  13:14,14:15  -  14:29"
103,14:15  -  14:29,82536066,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,"13:00  -  13:14,14:15  -  14:29"
104,11:45  -  11:59,82358890,North-Western,Solwezi,Rural,Male,2,None,DE,Some high school,Other Christian,A subsistence farmer/fisherman,D,Under K 849,Yes,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
105,11:30  -  11:44,82358890,North-Western,Solwezi,Rural,Male,2,None,DE,Some high school,Other Christian,A subsistence farmer/fisherman,D,Under K 849,Yes,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
106,12:00  -  12:14,82358890,North-Western,Solwezi,Rural,Male,2,None,DE,Some high school,Other Christian,A subsistence farmer/fisherman,D,Under K 849,Yes,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
107,12:15  -  12:29,82358890,North-Western,Solwezi,Rural,Male,2,None,DE,Some high school,Other Christian,A subsistence farmer/fisherman,D,Under K 849,Yes,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
