,Emmanuel TV  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Sunday
65,20:00  -  20:14,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
66,20:45  -  20:59,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
67,20:30  -  20:44,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
68,13:45  -  13:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
69,12:00  -  12:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
70,13:00  -  13:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
71,10:15  -  10:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
72,13:15  -  13:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
73,12:30  -  12:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
74,10:30  -  10:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
75,11:15  -  11:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
76,11:30  -  11:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
77,10:00  -  10:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
78,14:15  -  14:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
79,12:45  -  12:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
80,11:00  -  11:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
81,14:00  -  14:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
82,13:30  -  13:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
83,11:45  -  11:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
84,10:45  -  10:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
85,14:30  -  14:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
86,12:15  -  12:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
87,9:45  -  9:59,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
88,9:30  -  9:44,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
89,9:15  -  9:29,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
90,9:00  -  9:14,60586416,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
91,9:30  -  9:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
92,12:00  -  12:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
93,13:00  -  13:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
94,10:15  -  10:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
95,13:15  -  13:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
96,12:30  -  12:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
97,10:30  -  10:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
98,9:45  -  9:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
99,11:15  -  11:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
100,11:30  -  11:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
101,10:00  -  10:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
102,12:45  -  12:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
103,11:00  -  11:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
104,13:30  -  13:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
105,11:45  -  11:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
106,9:15  -  9:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
107,10:45  -  10:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
108,9:00  -  9:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
109,12:15  -  12:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
110,19:00  -  19:14,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
111,18:00  -  18:14,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
112,19:15  -  19:29,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
113,19:30  -  19:44,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
114,18:45  -  18:59,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
115,18:15  -  18:29,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
116,20:00  -  20:14,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
117,18:30  -  18:44,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
118,19:45  -  19:59,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
119,13:45  -  13:59,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
120,14:15  -  14:29,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
121,14:45  -  14:59,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
122,15:00  -  15:14,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
123,14:00  -  14:14,60675487,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
