,Zambezi Magic  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi Magic  Monday
132,10:15  -  10:29,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
133,12:00  -  12:14,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
134,11:00  -  11:14,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
135,9:30  -  9:44,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
136,11:30  -  11:44,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
137,10:45  -  10:59,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
138,10:00  -  10:14,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
139,9:45  -  9:59,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
140,10:30  -  10:44,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
141,21:45  -  21:59,82117688,Eastern,Chipata,Urban,Female,1,One,AB,Some university,Other Christian,Student,AB,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
142,22:00  -  22:14,82117688,Eastern,Chipata,Urban,Female,1,One,AB,Some university,Other Christian,Student,AB,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
143,21:15  -  21:29,82117688,Eastern,Chipata,Urban,Female,1,One,AB,Some university,Other Christian,Student,AB,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
144,21:00  -  21:14,82117688,Eastern,Chipata,Urban,Female,1,One,AB,Some university,Other Christian,Student,AB,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
145,21:30  -  21:44,82117688,Eastern,Chipata,Urban,Female,1,One,AB,Some university,Other Christian,Student,AB,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
146,20:00  -  20:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
147,20:30  -  20:44,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
148,20:45  -  20:59,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
149,20:15  -  20:29,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
150,21:00  -  21:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
151,11:45  -  11:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
152,11:15  -  11:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
153,12:45  -  12:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
154,12:00  -  12:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
155,11:00  -  11:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
156,12:30  -  12:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
157,11:30  -  11:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
158,12:15  -  12:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
159,10:45  -  10:59,82271219,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,10:45  -  10:59
160,15:45  -  15:59,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
161,16:30  -  16:44,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
162,16:15  -  16:29,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
163,16:00  -  16:14,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
164,15:30  -  15:44,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
165,19:30  -  19:44,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
166,19:45  -  19:59,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
167,20:00  -  20:14,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
168,20:30  -  20:44,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
169,20:45  -  20:59,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
170,19:00  -  19:14,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
171,20:15  -  20:29,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
172,19:15  -  19:29,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
173,18:30  -  18:44,60537539,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Seventh Day Adventists,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
174,18:45  -  18:59,60537539,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Seventh Day Adventists,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
175,17:45  -  17:59,60537539,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Seventh Day Adventists,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
176,18:15  -  18:29,60537539,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Seventh Day Adventists,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
177,17:30  -  17:44,60537539,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Seventh Day Adventists,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
178,18:00  -  18:14,60537539,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Seventh Day Adventists,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
179,18:30  -  18:44,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
180,15:15  -  15:29,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
181,17:45  -  17:59,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
182,18:45  -  18:59,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
183,18:15  -  18:29,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
184,15:45  -  15:59,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
185,16:30  -  16:44,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
186,16:15  -  16:29,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
187,16:00  -  16:14,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
188,16:45  -  16:59,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
189,17:30  -  17:44,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
190,17:15  -  17:29,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
191,15:30  -  15:44,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
192,18:00  -  18:14,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
193,17:00  -  17:14,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
194,15:00  -  15:14,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
195,12:45  -  12:59,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
196,12:00  -  12:14,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
197,12:15  -  12:29,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
198,12:30  -  12:44,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
199,19:30  -  19:44,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
200,19:45  -  19:59,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
201,20:00  -  20:14,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
202,19:00  -  19:14,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
203,19:15  -  19:29,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
204,20:00  -  20:14,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
205,20:30  -  20:44,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
206,20:15  -  20:29,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
207,19:45  -  19:59,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
208,20:00  -  20:14,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
209,20:30  -  20:44,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
210,20:45  -  20:59,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
211,21:15  -  21:29,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
