,African magic  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African magic  Sunday
156,18:15  -  18:29,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
157,18:00  -  18:14,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
158,20:15  -  20:29,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
159,19:15  -  19:29,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
160,21:15  -  21:29,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
161,20:30  -  20:44,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
162,18:30  -  18:44,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
163,20:00  -  20:14,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
164,19:30  -  19:44,60845445,Central,Kabwe,Urban,Male,0,One,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
165,6:00  -  6:14,82006683,Eastern,Chipata,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"6:00  -  6:14,18:00  -  18:14"
166,18:00  -  18:14,82006683,Eastern,Chipata,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"6:00  -  6:14,18:00  -  18:14"
167,8:15  -  8:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
168,8:00  -  8:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
169,8:30  -  8:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
170,9:00  -  9:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
171,8:45  -  8:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
172,23:00  -  23:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
173,19:00  -  19:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
174,19:45  -  19:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
175,18:15  -  18:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
176,22:00  -  22:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
177,20:15  -  20:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
178,20:30  -  20:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
179,18:30  -  18:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
180,18:45  -  18:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
181,18:00  -  18:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
182,19:15  -  19:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
183,22:30  -  22:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
184,21:45  -  21:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
185,21:00  -  21:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
186,20:45  -  20:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
187,21:30  -  21:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
188,21:15  -  21:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
189,20:00  -  20:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
190,19:30  -  19:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:30  -  22:44,23:00  -  23:14"
191,8:15  -  8:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
192,8:00  -  8:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
193,8:30  -  8:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
194,11:15  -  11:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
195,9:30  -  9:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
196,10:30  -  10:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
197,9:45  -  9:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
198,11:30  -  11:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
199,11:45  -  11:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
200,11:00  -  11:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
201,10:45  -  10:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
202,12:00  -  12:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
203,9:15  -  9:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
204,10:00  -  10:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
205,9:00  -  9:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
206,8:45  -  8:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
207,10:15  -  10:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
208,22:00  -  22:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
209,22:45  -  22:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
210,22:15  -  22:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
211,22:30  -  22:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
212,15:00  -  15:14,82105099,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"12:15  -  12:29,15:00  -  15:14"
213,12:15  -  12:29,82105099,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"12:15  -  12:29,15:00  -  15:14"
214,13:00  -  13:14,82105100,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,45+,13:00  -  13:14
215,21:45  -  21:59,82105101,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,21:45  -  21:59
216,21:00  -  21:14,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
217,22:00  -  22:14,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
218,21:30  -  21:44,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
219,21:15  -  21:29,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
220,21:45  -  21:59,82107300,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
