,Al Jazeera  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Al Jazeera  Wednesday
78,20:00  -  20:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
79,19:30  -  19:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
80,7:45  -  7:59,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,7:45  -  7:59
81,0:00  -  0:14,60562093,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,19 – 24,"20:00  -  20:14,0:00  -  0:14,0:15  -  0:29"
82,0:15  -  0:29,60562093,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,19 – 24,"20:00  -  20:14,0:00  -  0:14,0:15  -  0:29"
83,20:00  -  20:14,60562093,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,19 – 24,"20:00  -  20:14,0:00  -  0:14,0:15  -  0:29"
84,7:00  -  7:14,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
85,6:15  -  6:29,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
86,6:30  -  6:44,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
87,7:15  -  7:29,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
88,7:30  -  7:44,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
89,6:00  -  6:14,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
90,6:45  -  6:59,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
91,7:45  -  7:59,60583053,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
92,8:00  -  8:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
93,10:45  -  10:59,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
94,12:00  -  12:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
95,10:00  -  10:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
96,9:00  -  9:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
97,19:00  -  19:14,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
98,19:45  -  19:59,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
99,20:15  -  20:29,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
100,19:15  -  19:29,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
101,20:00  -  20:14,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
102,19:30  -  19:44,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
103,11:00  -  11:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"11:00  -  11:14,11:15  -  11:29,6:00  -  6:14,6:15  -  6:29"
104,11:15  -  11:29,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"11:00  -  11:14,11:15  -  11:29,6:00  -  6:14,6:15  -  6:29"
105,6:00  -  6:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"11:00  -  11:14,11:15  -  11:29,6:00  -  6:14,6:15  -  6:29"
106,6:15  -  6:29,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"11:00  -  11:14,11:15  -  11:29,6:00  -  6:14,6:15  -  6:29"
107,19:00  -  19:14,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
108,18:45  -  18:59,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
109,19:45  -  19:59,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
110,18:15  -  18:29,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
111,18:00  -  18:14,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
112,20:15  -  20:29,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
113,19:15  -  19:29,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
114,18:30  -  18:44,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
115,20:00  -  20:14,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
116,19:30  -  19:44,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
117,14:00  -  14:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
118,14:30  -  14:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
119,14:15  -  14:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
120,15:30  -  15:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
121,15:00  -  15:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
122,15:15  -  15:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
123,15:45  -  15:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
124,14:45  -  14:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
125,19:00  -  19:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
126,18:45  -  18:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
127,17:15  -  17:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
128,17:00  -  17:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
129,18:15  -  18:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
130,18:00  -  18:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
131,18:30  -  18:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
132,17:45  -  17:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
133,17:30  -  17:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
134,20:15  -  20:29,82105099,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,20:15  -  20:29
135,13:00  -  13:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
136,13:45  -  13:59,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
137,13:15  -  13:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
138,13:30  -  13:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
139,19:00  -  19:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29"
140,19:15  -  19:29,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29"
141,12:15  -  12:29,82188309,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some primary school,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,12:15  -  12:29
142,12:00  -  12:14,82203700,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,12:00  -  12:14
143,10:45  -  10:59,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
144,10:00  -  10:14,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
145,18:30  -  18:44,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,18:30  -  18:44
146,12:00  -  12:14,82278166,Copperbelt,Ndola,Urban,Female,2,One,C1,Completed high School,Muslim,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,19 – 24,12:00  -  12:14
147,6:45  -  6:59,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,6:45  -  6:59
148,21:30  -  21:44,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
149,21:45  -  21:59,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
150,21:15  -  21:29,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
151,19:00  -  19:14,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
152,19:45  -  19:59,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
153,19:15  -  19:29,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
154,19:30  -  19:44,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
155,8:15  -  8:29,82456633,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,8:15  -  8:29
156,8:30  -  8:44,82532621,Copperbelt,Ndola,Urban,Male,2,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,8:30  -  8:44
157,6:00  -  6:14,82626335,Copperbelt,Ndola,Urban,Male,2,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"6:00  -  6:14,8:00  -  8:14"
158,8:00  -  8:14,82626335,Copperbelt,Ndola,Urban,Male,2,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"6:00  -  6:14,8:00  -  8:14"
159,13:45  -  13:59,60582410,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,13:45  -  13:59
160,20:30  -  20:44,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
161,20:15  -  20:29,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
162,20:00  -  20:14,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
163,22:00  -  22:14,60726254,Lusaka,Kafue,Rural,Male,2,None,C2,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,45+,"19:30  -  19:44,21:15  -  21:29,22:00  -  22:14"
164,21:15  -  21:29,60726254,Lusaka,Kafue,Rural,Male,2,None,C2,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,45+,"19:30  -  19:44,21:15  -  21:29,22:00  -  22:14"
165,19:30  -  19:44,60726254,Lusaka,Kafue,Rural,Male,2,None,C2,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,45+,"19:30  -  19:44,21:15  -  21:29,22:00  -  22:14"
166,10:45  -  10:59,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
167,10:00  -  10:14,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
168,10:30  -  10:44,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
169,10:15  -  10:29,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
170,7:00  -  7:14,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
171,7:15  -  7:29,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
172,7:45  -  7:59,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
173,7:30  -  7:44,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
174,8:15  -  8:29,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
