,Zambezi Magic  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi Magic  Tueday
214,20:15  -  20:29,60616146,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
215,22:30  -  22:44,60616146,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
216,23:00  -  23:14,60616146,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
217,21:00  -  21:14,60616146,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
218,21:30  -  21:44,60616146,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
219,20:00  -  20:14,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
220,20:30  -  20:44,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
221,20:45  -  20:59,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
222,20:15  -  20:29,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
223,21:00  -  21:14,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
224,18:30  -  18:44,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
225,17:45  -  17:59,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
226,18:15  -  18:29,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
227,16:30  -  16:44,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
228,16:15  -  16:29,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
229,16:45  -  16:59,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
230,17:30  -  17:44,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
231,17:15  -  17:29,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
232,16:00  -  16:14,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
233,18:00  -  18:14,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
234,17:00  -  17:14,60634403,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
235,9:45  -  9:59,60639916,Copperbelt,Mufulira,Rural,Female,0,None,C1,Some high school,Anglican/Protestant,Refused/ don’t know (DON’T READ),Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
236,9:00  -  9:14,60639916,Copperbelt,Mufulira,Rural,Female,0,None,C1,Some high school,Anglican/Protestant,Refused/ don’t know (DON’T READ),Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
237,9:30  -  9:44,60639916,Copperbelt,Mufulira,Rural,Female,0,None,C1,Some high school,Anglican/Protestant,Refused/ don’t know (DON’T READ),Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
238,9:15  -  9:29,60639916,Copperbelt,Mufulira,Rural,Female,0,None,C1,Some high school,Anglican/Protestant,Refused/ don’t know (DON’T READ),Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
239,11:45  -  11:59,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
240,10:00  -  10:14,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
241,12:45  -  12:59,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
242,13:00  -  13:14,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
243,13:15  -  13:29,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
244,11:15  -  11:29,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
245,12:00  -  12:14,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
246,10:45  -  10:59,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
247,10:30  -  10:44,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
248,10:15  -  10:29,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
249,11:00  -  11:14,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
250,13:45  -  13:59,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
251,13:30  -  13:44,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
252,14:45  -  14:59,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
253,14:15  -  14:29,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
254,14:30  -  14:44,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
255,12:30  -  12:44,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
256,11:30  -  11:44,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
257,14:00  -  14:14,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
258,12:15  -  12:29,60640632,Eastern,Chipata,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
259,5:45  -  5:59,60642157,Copperbelt,Ndola,Urban,Female,1,One,C1,Primary school completed,Anglican/Protestant,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,5:45  -  5:59
260,19:30  -  19:44,60642683,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,19:30  -  19:44
261,21:45  -  21:59,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
262,11:45  -  11:59,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
263,12:45  -  12:59,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
264,6:45  -  6:59,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
265,6:00  -  6:14,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
266,23:00  -  23:14,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
267,22:00  -  22:14,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
268,15:00  -  15:14,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
269,12:00  -  12:14,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
270,8:30  -  8:44,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
271,21:30  -  21:44,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:45  -  7:59,8:30  -  8:44,9:00  -  9:14,11:45  -  11:59,12:00  -  12:14,12:45  -  12:59,14:15  -  14:29,15:00  -  15:14,17:45  -  17:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,23:00  -  23:14"
