SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60538849,At homeIn a barBus,On a mobile phone,6 days per week,3 days per week,Less than that,Less than that,4 days per week,Do not listen at this time,Do not listen at this time,Mazabuka,they bring community issues,"Monday,Tuesday,Wednesday,Saturday","Religious,Social/community programs e.g. people with special needs,Developmental issues e.g. building of roads,News/current affairs,Politics,", ,Early morning, ,"Mazabuka,Radio 1,Radio 2"
60539863,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,ZNBC 1,news,Tuesday,"Politics,News/current affairs,", ,Early morning, ,"Radio 1,Radio 2,Radio Christian Voice,Rise FM,Yar,ZNBC 1"
60540117,At home,On a mobile phone,Less than that,2 days per week,3 days per week,7 days per week,4 days per week,Less than that,Do not listen at this time,Radio 1,It has shows in different languages which make it easy to understand and relate to.,"Tuesday,Wednesday,Friday","Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,News/current affairs,Religious,Gender issues,Politics,Agricultural issues,Music shows,", ,Early morning, ,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4"
60540118,At homeIn a car-privateAt work (office field etc),On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Radio 1,It has programs in different languages,"Tuesday,Saturday","Religious,News/current affairs,Politics,Music shows,", ,Late evening, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
60540119,At home,On a radio,7 days per week,Less than that,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,New Generation,It has alot of youthful programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Gender issues,Music shows,", ,Early morning, ,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60540120,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,3 days per week,Do not listen at this time,Do not listen at this time,New Generation,Youthful,"Wednesday,Friday,Saturday","Music shows,", ,Late evening, ,"BBC,Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio Christian Voice"
60540121,At home,On a radio,3 days per week,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Radio 4,They have good programs both youthful and mature that are educative.,"Monday,Friday,Saturday","News/current affairs,Music shows,Gender issues,Religious,", ,Late afternoon, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4"
60540122,At homeAt work (office field etc),On a radio,Less than that,Less than that,Do not listen at this time,Less than that,Less than that,Less than that,Do not listen at this time,New Generation,It has good content,"Monday,Tuesday,Wednesday,Thursday,Friday","Gender issues,Politics,Developmental issues e.g. building of roads,News/current affairs,Social/community programs e.g. people with special needs,Music shows,", ,Early morning, ,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60540123,At homeAt work (office field etc),On a radio,7 days per week,Less than that,Less than that,1 day per week,7 days per week,Less than that,Do not listen at this time,New Generation,It plays good music (Good content),"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Politics,News/current affairs,Social/community programs e.g. people with special needs,Gender issues,Music shows,Sports Commentaries,Health issues e.g. HIV / AIDS,", ,Early morning, ,"BBC,Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60540326,At homeBus,On a radio,7 days per week,3 days per week,Less than that,7 days per week,3 days per week,Less than that,Less than that,Breeze,"The bring,the best community platform .","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","News/current affairs,Radio drama,Gender issues,Music shows,Social/community programs e.g. people with special needs,Children's programs,", ,Early morning, ,"Breeze,Feel Free,Maria,QFM,Radio 1,ZNBC 1"
60540719,At homeAt work (office field etc),On a radioOn a mobile phone,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Phoenix,it's fun,Wednesday,"Music shows,Agricultural issues,News/current affairs,Politics,", ,Early morning, ,"KNC,5FM,Phoenix,QFM,Radio 1,Radio 2,Radio 4"
60540720,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it's educative,"Monday,Wednesday,Thursday,Friday","Social/community programs e.g. people with special needs,News/current affairs,", ,Early evening, ,"KNC,Phoenix,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60540721,At work (office field etc),On a radio,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,KNC,it ok,Thursday,"Developmental issues e.g. building of roads,Radio drama,", ,Lunch time, ,"KNC,5FM,BBC,Phoenix,Power,QFM,Radio 1,Radio 2,Radio 4"
60540722,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Phoenix,good music,"Wednesday,Thursday,Friday","Radio drama,Music shows,", ,Early morning, ,"KNC,5FM,BBC,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60540723,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 1,radio  drama,Wednesday,"Religious,Radio drama,", ,Early evening, ,"KNC,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60540724,At home,On a radio,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 2,it's entertaining,"Tuesday,Wednesday,Thursday","Radio drama,Music shows,", ,Early morning, ,"KNC,Mkushi,Phoenix,QFM,Radio 1,Radio 2,Radio 4"
60540725,At home,On a radio,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio Chrsitian Voice,I like it,"Wednesday,Thursday","Music shows,Religious,", ,Early morning, ,"KNC,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60540726,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Radio 1,it's entertaining,"Wednesday,Sunday","Gender issues,Religious,", ,Late evening, ,"Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60540727,At home,On a radio,7 days per week,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 2,its educative,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Health issues e.g. HIV / AIDS,Environmental issues,Politics,Religious,News/current affairs,Music shows,", ,Early morning, ,"KNC,5FM,Phoenix,Power,QFM,Radio 1,Radio 2,Radio 4"
60541393,At homeIn a market placBus,On a radioOn a mobile phone,5 days per week,3 days per week,5 days per week,2 days per week,7 days per week,Less than that,Less than that,Feel Free,Best for Local drama.,"Monday,Tuesday,Wednesday,Friday","Social/community programs e.g. people with special needs,News/current affairs,Radio drama,", ,Early morning, ,"Breeze,Feel Free,Maria,QFM,Radio 1,ZNBC 1"
60541600,At home,On a radio,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Q FM,he just enjoys it because of the program,Thursday,"Religious,Developmental issues e.g. building of roads,Gender issues,Music shows,", ,Late evening, ,"Hot,Komboni,Q FM"
60541872,Another household (friends relatives house)In a market plac,On a radioOn a mobile phone,Less than that,Less than that,Less than that,1 day per week,1 day per week,Less than that,Less than that,Maranatha,Christian gospel content,Friday,"Agricultural issues,Developmental issues e.g. building of roads,News/current affairs,Radio drama,Religious,", ,Early afternoon, ,"Blue Sky FM,Itezi tezi,Phoenix,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60541873,At home,On a radio,Less than that,Less than that,Less than that,Less than that,1 day per week,Less than that,Do not listen at this time,Maranatha,gospel,Friday,"Music shows,Religious,", ,Early afternoon, ,"Maranatha,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60541874,At home,On a radioOn a mobile phone,5 days per week,Do not listen at this time,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,Radio 4,music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,Agricultural issues,Politics,Gender issues,News/current affairs,Radio drama,Health issues e.g. HIV / AIDS,", ,Late evening, ,"Phoenix,Radio 1,Radio 2,Radio 4"
60541875,At home,On a mobile phone,2 days per week,Less than that,Less than that,Less than that,7 days per week,7 days per week,Do not listen at this time,Radio 2,news and current affairs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Radio drama,News/current affairs,Religious,Environmental issues,Sports Commentaries,Politics,Agricultural issues,Music shows,Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Gender issues,Developmental issues e.g. building of roads,", ,Late evening, ,"Blue Sky FM,Maranatha,Phoenix,QFM,Radio 1,Radio 2,Radio 4"
60541876,Bus,On a radio,7 days per week,Less than that,5 days per week,Less than that,1 day per week,Do not listen at this time,Do not listen at this time,Radio 4,music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Children's programs,Radio drama,Politics,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,News/current affairs,Developmental issues e.g. building of roads,Environmental issues,Music shows,Gender issues,Religious,Agricultural issues,", ,Early morning, ,"Maranatha,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60541877,At homeIn a market placAt school/Colleg,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,3 days per week,Less than that,Do not listen at this time,{0},music,"Monday,Tuesday,Friday","Music shows,Health issues e.g. HIV / AIDS,Religious,Radio drama,", ,Late evening, ,"Blue Sky FM,Maranatha,Phoenix,Radio 1,Radio 2,Radio 4"
60541878,At homeIn a restaurant,On a radio,3 days per week,Less than that,Less than that,Less than that,Less than that,7 days per week,Less than that,KNC,mobile city promo show,Wednesday,"Sports Commentaries,Radio drama,Music shows,", ,Late evening, ,"KNC,Itezi tezi,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60541879,At homeIn a market placAt school/Colleg,On a mobile phonePay TV eg. DSTV,Less than that,Less than that,3 days per week,Less than that,1 day per week,Less than that,Less than that,Radio Chrsitian Voice,gospel music,"Monday,Wednesday,Sunday","Social/community programs e.g. people with special needs,Gender issues,Agricultural issues,Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,Politics,Music shows,Religious,Environmental issues,", ,Late morning, ,"Phoenix,Radio 1,Radio 2,Radio Chrsitian Voice"
60541904,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,4 days per week,Do not listen at this time,Do not listen at this time,Komboni,the music is awesome,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,Health issues e.g. HIV / AIDS,", ,Early morning, ,"Christian Voice,Komboni,Millennium,Radio 1"
60542679,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Komboni,music is good,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,", ,Early morning, ,"Hot,Komboni,Radio Christian Voice"
60543022,At home,On a radio,4 days per week,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Less than that,Komboni,it entertains me,"Friday,Saturday","Religious,Music shows,Radio drama,", ,Late morning, ,"Komboni,Millennium,Q FM"
60543023,At home,On a radio,Less than that,2 days per week,2 days per week,Less than that,Less than that,Less than that,Do not listen at this time,Hot,like the programmes,"Thursday,Friday,Saturday","Music shows,News/current affairs,", ,Early evening, ,"Hot,Komboni"
60543024,At homeAt work (office field etc),On a radio,3 days per week,Less than that,Less than that,Less than that,4 days per week,Do not listen at this time,Do not listen at this time,Parliament,to know whats happening in the country,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Environmental issues,Gender issues,News/current affairs,Politics,", ,Late morning, ,"Komboni,Parliament,Radio 1,Radio 2"
60543025,At home,On a mobile phone,Less than that,Less than that,Less than that,Less than that,7 days per week,3 days per week,Do not listen at this time,Christian Voice,favourite programmes,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Religious,", ,Late evening, ,"Christian Voice,Komboni"
60543026,At home,On a radio,Less than that,Less than that,1 day per week,Less than that,4 days per week,Less than that,Do not listen at this time,One Love,because there are some inspirational messages,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,Social/community programs e.g. people with special needs,Other (specify),Health issues e.g. HIV / AIDS,",pastor Billie mfula,Early evening, ,"Evelyn,Hot,Joy,Komboni,Millennium,One Love,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60543321,At home,On a radio,4 days per week,3 days per week,2 days per week,4 days per week,2 days per week,2 days per week,1 day per week,BBC,enjoy football,Monday,"Music shows,Health issues e.g. HIV / AIDS,", ,Early evening, ,"BBC,Flava FM"
60543322,At homeOther (specify),On a radio,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Christian Voice,because of the content they have,Saturday,"Religious,Music shows,", ,Early morning, ,"5FM,Christian Voice,Hot"
60543324,At homeIn a market placBus,On a mobile phone,7 days per week,7 days per week,5 days per week,2 days per week,7 days per week,7 days per week,Less than that,Radio 1,they bring programs in my local language,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Social/community programs e.g. people with special needs,News/current affairs,Developmental issues e.g. building of roads,Politics,Gender issues,Environmental issues,Radio drama,Religious,", ,Early evening, ,"Maria,PASME,Petauke Explorers,QFM,Radio 1,Radio 2,Radio 4"
60543325,At home,On a radioOn a mobile phonePay TV eg. DSTV,7 days per week,Less than that,2 days per week,Less than that,Less than that,1 day per week,Less than that,Radio 1,because of the programs such us Kodi muziba and other local dramas,"Monday,Thursday","Radio drama,Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Religious,Agricultural issues,News/current affairs,", ,Lunch time, ,"PASME,Petauke Explorers"
60543326,At home,On a radioOn a mobile phone,6 days per week,4 days per week,1 day per week,3 days per week,7 days per week,7 days per week,1 day per week,PASME,I enjoy the program breakfast show,Wednesday,"Environmental issues,Other (specify),Music shows,Religious,Politics,Radio drama,News/current affairs,Children's programs,",talk shows,Late afternoon, ,"PASME,Petauke Explorers"
60543327,At homeAt school/Colleg,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Less than that,Do not listen at this time,Do not listen at this time,Petauke Explorers,I like there morning shows,"Monday,Wednesday,Thursday,Saturday","Environmental issues,Social/community programs e.g. people with special needs,Politics,Gender issues,News/current affairs,Religious,", ,Early evening, ,"PASME,Petauke Explorers"
60543328,At homeAnother household (friends relatives house),On a radioOn a mobile phone,1 day per week,Do not listen at this time,Do not listen at this time,1 day per week,Less than that,Do not listen at this time,Less than that,PASME,they play very good gospel music,"Monday,Wednesday,Saturday,Sunday","Religious,Radio drama,Music shows,News/current affairs,", ,Late evening, ,"PASME,Petauke Explorers"
60543874,Bus,On a radio,Less than that,Less than that,1 day per week,Less than that,3 days per week,Less than that,Less than that,Sun,good pro,Saturday,"Social/community programs e.g. people with special needs,Music shows,", ,Late evening, ,Sun
60548541,At home,On a radio,1 day per week,Less than that,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Icengelo,they  bring local news,Wednesday,"Radio drama,Gender issues,", ,Late evening, ,"Icengelo,Phoenix"
60549183,At home,On a radio,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Icengelo,they bring stories,Wednesday,"Radio drama,", ,Late evening, ,Icengelo
60549600,At homeAnother household (friends relatives house),On a radioOn a mobile phone,4 days per week,3 days per week,4 days per week,4 days per week,3 days per week,4 days per week,Less than that,Christian Voice,Good Christian words spoken,Monday,"Developmental issues e.g. building of roads,Agricultural issues,Politics,Music shows,Gender issues,Social/community programs e.g. people with special needs,News/current affairs,Radio drama,Religious,Health issues e.g. HIV / AIDS,", ,Early evening, ,"BBC,Christian Voice,Komboni,Millennium,One Love,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,United Voice,Yatsani"
60549601,At homeAnother household (friends relatives house)In a market placBus,On a radioOn a mobile phone,4 days per week,4 days per week,3 days per week,4 days per week,4 days per week,4 days per week,Less than that,Komboni,Entertaining DJ's,Thursday,"Children's programs,News/current affairs,Music shows,", ,Late evening, ,"Christian Voice,Hot,Joy,Komboni,Metro,Millennium,One Love,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,United Voice,Unza,Yatsani"
60549602,At homeAnother household (friends relatives house)Bus,On a radioOn a mobile phone,5 days per week,3 days per week,3 days per week,4 days per week,3 days per week,3 days per week,Do not listen at this time,United Voice,Christian words and Good music,"Tuesday,Thursday,Saturday,Sunday","Music shows,News/current affairs,Religious,", ,Late evening, ,"BBC,Christian Voice,Hot,Komboni,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,United Voice,Unza,Yatsani"
60549603,At homeAnother household (friends relatives house),On a radio,4 days per week,4 days per week,4 days per week,4 days per week,4 days per week,3 days per week,Do not listen at this time,Radio 1,Radio discussions,"Monday,Wednesday,Thursday","Radio drama,News/current affairs,Music shows,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,Children's programs,Religious,Gender issues,", ,Late evening, ,"BBC,Christian Voice,Hot,Joy,Komboni,Metro,Millennium,One Love,Pan African,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,United Voice,Unza,Yatsani"
60549604,At homeAnother household (friends relatives house)In a barPublic van,On a radioOn a mobile phone,4 days per week,4 days per week,4 days per week,3 days per week,5 days per week,3 days per week,Do not listen at this time,Hot,Interesting discussions,"Monday,Wednesday,Thursday,Saturday,Sunday","Politics,Sports Commentaries,Gender issues,Music shows,Environmental issues,News/current affairs,", ,Late evening, ,"BBC,Christian Voice,Evelyn,Hot,Joy,Komboni,Metro,Millennium,One Love,Pan African,Parliament,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Unza,Yatsani"
60549605,At homeAnother household (friends relatives house)Bus,On a radioOn a mobile phone,4 days per week,4 days per week,4 days per week,4 days per week,4 days per week,4 days per week,Do not listen at this time,Hot,Interesting discussions and music playlist,Thursday,"Sports Commentaries,News/current affairs,Music shows,Politics,Health issues e.g. HIV / AIDS,Gender issues,", ,Early morning, ,"BBC,Christian Voice,Evelyn,Hot,Joy,Komboni,Metro,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,United Voice,Unza"
60549710,At home,On a radioOn a mobile phone,7 days per week,4 days per week,5 days per week,5 days per week,3 days per week,5 days per week,Do not listen at this time,Power,Because they play nice music and on Thursday theirs a program which airs called TBT,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,", ,Early morning, ,"KNC,Power,{0}"
60549711,At home,On a radio,Do not listen at this time,Less than that,Do not listen at this time,6 days per week,7 days per week,7 days per week,Do not listen at this time,KNC,Because they bring programs like Ifimbusa which I like,Sunday,"Radio drama,", ,Early evening, ,"KNC,Maranatha,Power"
60549712,At home,On a radio,1 day per week,Do not listen at this time,Less than that,3 days per week,4 days per week,2 days per week,Do not listen at this time,Power,Because they talk about things happening now,Tuesday,"Music shows,Radio drama,News/current affairs,", ,Early evening, ,"KNC,Maranatha,Power"
60549713,At home,On a radio,5 days per week,2 days per week,2 days per week,6 days per week,1 day per week,Less than that,Do not listen at this time,Power,it's the happening station in kabwe,Saturday,"News/current affairs,Music shows,", ,Early morning, ,"KNC,Maranatha,Power"
60549714,At homePrivate taxi,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,{0},whenever I request for a song they always play,Saturday,"News/current affairs,Music shows,", ,Early morning, ,"KNC,Maranatha,Power,{0}"
60549715,At home,On a radioOn a mobile phone,7 days per week,Do not listen at this time,Do not listen at this time,3 days per week,1 day per week,2 days per week,Do not listen at this time,{0},They play nice music,Thursday,"News/current affairs,Music shows,", ,Early morning, ,"KNC,Maranatha,Power,{0}"
60550261,At homeOther (specify),On a radioOn a mobile phonePay TV eg. DSTV,Do not listen at this time,4 days per week,3 days per week,7 days per week,1 day per week,Do not listen at this time,Less than that,BBC,because it has access to international news...,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,", ,Early morning, ,"Baptist Faith,BBC,Icengelo,Phoenix,QFM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun,ZNBC 1,ZNBC 2,ZNBC 4,ZNBC MUSIC"
60550361,At home,On a radioOn a mobile phone,Do not listen at this time,4 days per week,7 days per week,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Komboni,I love the kind of music they play,"Monday,Tuesday,Wednesday,Thursday","News/current affairs,Music shows,Radio drama,Sports Commentaries,Religious,Politics,Environmental issues,", ,Early afternoon, ,"BBC,Komboni,Power,Q FM,Rock FM,ZNBC 1,ZNBC 2,ZNBC 4"
60550362,Bus,Other (specify),3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Hot,they Play nice music,"Monday,Tuesday,Wednesday","Music shows,", ,Late morning, ,"Hot,Radio Christian Voice"
60550363,At home,Pay TV eg. DSTV,5 days per week,5 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,{0},They bring music that I enjoy,"Monday,Tuesday,Wednesday,Thursday","Music shows,", ,Late morning, ,Komboni
60550364,At home,On a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Do not listen at this time,Yatsani,It bring programs of my interest,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,News/current affairs,Religious,Health issues e.g. HIV / AIDS,", ,Other (specify),the whole day,"BBC,Hot,Joy,Komboni,Millennium,Radio 2,Yatsani"
60550365,At home,Other (specify),5 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Komboni,It is popular and brings good music,"Monday,Tuesday,Wednesday,Thursday,Friday","Music shows,", ,Early morning, ,"Komboni,Unza"
60550366,Bus,Other (specify),5 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Komboni,i enjoy the music they play,"Monday,Tuesday,Wednesday,Thursday,Friday","Religious,Music shows,", ,Early morning, ,"Komboni,Millennium"
60550986,At home,On a radio,7 days per week,7 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Icengelo,because we listen to different stories,"Tuesday,Friday","News/current affairs,Radio drama,", ,Early morning, ,"Icengelo,Radio 1"
60551587,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Sun,it's teachs alot about the future how to respect olders,Tuesday,"Music shows,Health issues e.g. HIV / AIDS,Other (specify),",it teachs alot about the future how to respect olders,Late evening, ,Sun
60551800,At home,On a radioOn a mobile phone,7 days per week,7 days per week,7 days per week,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Kokoliko,entertainment,Friday,"Religious,Health issues e.g. HIV / AIDS,News/current affairs,Sports Commentaries,Music shows,", ,Early morning, ,"Flava FM,Icengelo,Kokoliko,Radio Christian Voice,Yar,ZNBC 1"
60552083,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Icengelo,i listened to programs because am a Catholic,"Monday,Tuesday,Thursday,Friday,Saturday,Sunday","Religious,", ,Lunch time, ,Icengelo
60552219,Other (specify),On a mobile phone,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,Radio Christian Voice,community news and religious issues,"Monday,Friday","Religious,Social/community programs e.g. people with special needs,", ,Early afternoon, ,"Chimwemwe,Icengelo,Radio 1,Radio 4,Radio Christian Voice"
60552946,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Yar,because it's teachs about Christianity,Sunday,"Religious,", ,Late evening, ,Yar
60553081,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio Christian Voice,because there teaching build my spiritual life,"Tuesday,Thursday","Religious,", ,Lunch time, ,"Icengelo,Radio Christian Voice"
60553130,At homePrivate taxiBus,On a mobile phone,7 days per week,Less than that,Do not listen at this time,1 day per week,Less than that,1 day per week,Do not listen at this time,Icengelo,they have a lot of entertaining  and educative programs,"Friday,Sunday","Religious,Politics,", ,Late evening, ,"Icengelo,Kokoliko,Phoenix,Rise FM"
60553131,Private taxi,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Kokoliko,I love their DJs,Monday,"Music shows,", ,Early morning, ,"Kokoliko,Radio 1,Radio 2,Radio 4"
60553775,In a car-privateOther (specify),On a radioOn a mobile phone,3 days per week,4 days per week,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Radio 2,It keeps me entertained,"Wednesday,Friday","Gender issues,Politics,News/current affairs,", ,Early evening, ,"Radio 1,Radio 2"
60553776,Other (specify),Other (specify),Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,None,nil,Monday,"Other (specify),",none,Other (specify),I don't listen to radio,None
60553921,At homePrivate taxi,On a radio,3 days per week,5 days per week,6 days per week,2 days per week,2 days per week,Do not listen at this time,Do not listen at this time,Mazabuka,it's a community radio station they bring real issues,"Wednesday,Friday,Saturday","Social/community programs e.g. people with special needs,Politics,Music shows,Religious,Environmental issues,Children's programs,News/current affairs,Radio drama,Developmental issues e.g. building of roads,", ,Early afternoon, ,"Mazabuka,Radio 1,Radio 2,Radio 4"
60553922,At home,On a radioOn a mobile phone,3 days per week,2 days per week,Less than that,Less than that,2 days per week,Do not listen at this time,Do not listen at this time,Mazabuka,news nd current affairs,Thursday,"Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,Politics,Gender issues,Religious,Sports Commentaries,", ,Early morning, ,"Mazabuka,Radio 1,Radio 2,Radio 4"
60554675,At home,On a radio,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Icengelo,they bring nice programs,Wednesday,"Radio drama,", ,Early morning, ,Icengelo
60554815,At home,On a radio,Do not listen at this time,7 days per week,Do not listen at this time,Less than that,7 days per week,Do not listen at this time,Do not listen at this time,Sun,the station is educative,"Friday,Saturday,Sunday","News/current affairs,Developmental issues e.g. building of roads,Children's programs,Religious,", ,Early evening, ,Sun
