SbjNum,Read or paged through a newspaper,Watched pay TV,Internet Users,Social Network Sites Users,Radio Listenership,Magazine Readership,TV Viewership,Watched Video/Movie using VCR,Watched VCD/ DVD,Music on CD,Music on IPOD/MP3 player,Watched pay TV e.g.DSTV,Email Access,Visit a Cinema,Sent SMS on Phone,Made a Call on Phone,Mobile Cinema or Projected,Book Reader,Promotion participant,Newspaper Online Readership,Radio Listenership - Mobile Phone,Promotion participant - SMS,Radio/TV Talk Show participant - SMS,Radio/TV Talk Show participant - Call,Attended/Participated in a road show,Community Education Meeting,Stereo tape,Watched Free to Air
60774652,Past 7 Days,Yesterday,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Yesterday,Yesterday,Past 12 Months,Past 7 Days,Past 7 Days,Past 4 Weeks,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Past 7 Days,Yesterday,Yesterday,Past 4 Weeks,Never,Yesterday,Past 4 Weeks,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Yesterday
60775076,Past 4 Weeks,Yesterday,Never,Never,Yesterday,Past 7 Days,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 4 Weeks,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Never,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Never,Past 4 Weeks,Past 12 Months,Yesterday
60775373,Past 4 Weeks,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Past 7 Days,Yesterday,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Yesterday,Never,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Never,Never,Never
60775512,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Past 12 Months,Yesterday,Past 4 Weeks,Past 7 Days,Never,Past 7 Days,Past 7 Days,Yesterday,Past 7 Days,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Past 4 Weeks
60775761,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Never,Never,Never,Past 4 Weeks,Past 12 Months,Yesterday
60776084,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Past 4 Weeks,Yesterday,Never,Yesterday,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Past 12 Months,Yesterday
60776085,Past 12 Months,Past 12 Months,Never,Yesterday,Yesterday,Never,Yesterday,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Past 7 Days,Past 12 Months,Never,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Yesterday
60776183,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Past 7 Days,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Past 4 Weeks,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Past 4 Weeks,Never,Past 4 Weeks
60776184,Never,Yesterday,Yesterday,Past 12 Months,Past 7 Days,Never,Yesterday,Never,Past 12 Months,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Yesterday,Never,Past 4 Weeks,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60776591,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 12 Months,Past 4 Weeks,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Past 4 Weeks,Never,Past 7 Days,Yesterday,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never,Never
60777338,Yesterday,Yesterday,Never,Never,Past 7 Days,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Never,Never,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Yesterday,Never,Past 4 Weeks,Yesterday,Never,Never,Never,Past 4 Weeks,Past 12 Months,Yesterday
60777464,Never,Past 12 Months,Never,Never,Past 4 Weeks,Never,Past 4 Weeks,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Past 4 Weeks,Yesterday,Never,Past 12 Months,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Past 12 Months,Never,Never
60777503,Never,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Past 7 Days,Never,Yesterday,Never,Never,Never,Never,Never,Never,Past 12 Months
60777629,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Yesterday,Never,Past 7 Days,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Never
60778658,Never,Yesterday,Never,Never,Past 7 Days,Past 12 Months,Never,Never,Past 7 Days,Past 7 Days,Never,Yesterday,Never,Never,Past 4 Weeks,Past 7 Days,Never,Past 12 Months,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60778659,Never,Yesterday,Never,Never,Past 4 Weeks,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never
60778660,Never,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never
60778661,Never,Past 12 Months,Never,Never,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never
60778662,Never,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never
60778663,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Past 7 Days,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never
60778846,Yesterday,Never,Never,Never,Past 4 Weeks,Yesterday,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never
60778847,Past 12 Months,Never,Never,Never,Past 7 Days,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Never
60778848,Past 7 Days,Never,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never
60778849,Never,Never,Past 4 Weeks,Past 4 Weeks,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Yesterday,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never
60779100,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Yesterday,Never,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Past 7 Days,Never,Yesterday,Yesterday,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60779363,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Yesterday,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never
60779410,Yesterday,Yesterday,Past 12 Months,Past 7 Days,Past 7 Days,Yesterday,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Past 4 Weeks,Yesterday,Yesterday,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Never,Past 12 Months,Past 4 Weeks,Past 12 Months
60779443,Yesterday,Never,Yesterday,Yesterday,Past 4 Weeks,Past 4 Weeks,Yesterday,Never,Never,Never,Never,Never,Past 7 Days,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60779544,Never,Yesterday,Never,Never,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months
60779669,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never
60779670,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Past 7 Days,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never
60779671,Never,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Never
60779672,Past 12 Months,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Never,Past 12 Months,Never,Never,Never
60779673,Past 12 Months,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Past 7 Days,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Past 12 Months,Never,Never
60779738,Past 7 Days,Past 12 Months,Never,Never,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Past 12 Months,Never
60779739,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months
60779740,Past 4 Weeks,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60780018,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Never,Yesterday,Yesterday,Yesterday,Yesterday,Never,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Never
60780477,Past 4 Weeks,Never,Never,Never,Past 7 Days,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never,Never
60781041,Never,Yesterday,Never,Never,Past 12 Months,Past 4 Weeks,Yesterday,Never,Past 4 Weeks,Past 7 Days,Never,Yesterday,Never,Never,Never,Yesterday,Never,Never,Never,Past 7 Days,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never
60781386,Yesterday,Never,Yesterday,Yesterday,Past 12 Months,Yesterday,Yesterday,Never,Never,Never,Past 12 Months,Never,Never,Never,Yesterday,Yesterday,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60781395,Never,Yesterday,Never,Never,Past 4 Weeks,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Past 12 Months
60781396,Past 12 Months,Yesterday,Past 7 Days,Past 7 Days,Past 4 Weeks,Past 4 Weeks,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Past 12 Months
60781397,Past 4 Weeks,Yesterday,Past 7 Days,Never,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 7 Days,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Past 4 Weeks,Past 7 Days,Past 12 Months,Never,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months
60781398,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 12 Months,Never,Yesterday,Past 4 Weeks,Past 12 Months,Past 7 Days,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60781399,Yesterday,Past 7 Days,Never,Never,Yesterday,Never,Yesterday,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Never,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Past 12 Months,Never
60781400,Past 12 Months,Never,Yesterday,Past 7 Days,Past 4 Weeks,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60781446,Past 4 Weeks,Yesterday,Never,Never,Past 12 Months,Past 4 Weeks,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never
60782118,Past 12 Months,Never,Past 12 Months,Past 12 Months,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60782407,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Never,Yesterday,Never,Past 12 Months,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60782408,Never,Yesterday,Past 4 Weeks,Yesterday,Past 4 Weeks,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Past 4 Weeks,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60782429,Past 4 Weeks,Yesterday,Never,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never,Never
60782430,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Never,Yesterday,Never,Past 12 Months,Yesterday,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60782436,Yesterday,Yesterday,Never,Past 12 Months,Past 7 Days,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60782773,Never,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never
60783759,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Past 12 Months,Never,Yesterday,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60784145,Never,Never,Never,Never,Past 12 Months,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Never,Past 7 Days,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60784146,Never,Past 7 Days,Never,Never,Yesterday,Never,Never,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Never,Yesterday,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60785657,Past 7 Days,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Yesterday,Yesterday,Never,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Yesterday,Never,Past 7 Days,Past 4 Weeks,Past 12 Months,Yesterday,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60825709,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Never,Never,Yesterday,Past 7 Days,Never,Never,Never,Never,Never,Never,Never
60825710,Past 7 Days,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Never,Never,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never
60825711,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Yesterday
60825712,Never,Yesterday,Never,Never,Yesterday,Past 7 Days,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60825713,Never,Yesterday,Never,Never,Yesterday,Past 7 Days,Past 4 Weeks,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never
60825714,Never,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Never,Never,Yesterday,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never
60826402,Never,Never,Never,Never,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Never
60826403,Past 12 Months,Never,Never,Never,Past 7 Days,Past 12 Months,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 4 Weeks,Past 12 Months,Never,Never,Never,Never,Never,Never
60826404,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Yesterday,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never
60826405,Past 4 Weeks,Never,Never,Never,Past 4 Weeks,Past 7 Days,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never
60826443,Past 4 Weeks,Past 12 Months,Never,Never,Past 7 Days,Past 12 Months,Past 7 Days,Never,Past 12 Months,Past 4 Weeks,Never,Past 12 Months,Never,Never,Past 7 Days,Past 7 Days,Never,Past 4 Weeks,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 4 Weeks,Never,Past 4 Weeks
60826444,Past 12 Months,Past 12 Months,Never,Never,Past 7 Days,Never,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Past 4 Weeks,Past 7 Days,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Past 7 Days
60826445,Past 12 Months,Never,Never,Never,Past 7 Days,Past 12 Months,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Past 4 Weeks,Past 7 Days,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Past 7 Days
60826446,Past 7 Days,Past 7 Days,Never,Never,Past 7 Days,Past 4 Weeks,Past 7 Days,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Past 4 Weeks
60826447,Never,Never,Never,Never,Past 7 Days,Never,Past 7 Days,Never,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Past 7 Days,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Past 7 Days
60826815,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 12 Months,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 4 Weeks,Past 12 Months,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Never,Never
60826856,Never,Yesterday,Yesterday,Yesterday,Past 12 Months,Never,Yesterday,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60831230,Past 12 Months,Yesterday,Yesterday,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Never,Never,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Yesterday,Never,Past 12 Months,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never
60831231,Never,Past 7 Days,Yesterday,Yesterday,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Past 12 Months,Past 7 Days,Past 4 Weeks,Past 12 Months,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60832103,Past 12 Months,Past 12 Months,Past 12 Months,Never,Yesterday,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never
60832104,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Past 12 Months,Past 12 Months,Never,Never
60832105,Past 12 Months,Past 4 Weeks,Never,Never,Past 7 Days,Past 12 Months,Past 7 Days,Never,Past 12 Months,Never,Never,Past 4 Weeks,Never,Never,Past 4 Weeks,Past 7 Days,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never
60832106,Never,Past 12 Months,Never,Never,Yesterday,Past 4 Weeks,Past 4 Weeks,Never,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never
60832107,Never,Past 12 Months,Never,Never,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never
60832108,Past 12 Months,Past 12 Months,Never,Never,Past 7 Days,Past 12 Months,Past 4 Weeks,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Past 12 Months,Past 12 Months,Never,Never
60832109,Never,Past 12 Months,Never,Never,Yesterday,Past 12 Months,Past 4 Weeks,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Yesterday,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never
60832110,Past 12 Months,Past 12 Months,Past 4 Weeks,Never,Yesterday,Past 12 Months,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Past 12 Months,Past 12 Months,Never,Never
60832260,Past 4 Weeks,Past 7 Days,Yesterday,Yesterday,Past 4 Weeks,Past 7 Days,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Past 4 Weeks,Past 12 Months,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Yesterday,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never
60832261,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Past 4 Weeks,Past 7 Days,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Past 12 Months
60845424,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 4 Weeks,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60845425,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Yesterday,Never,Yesterday,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
60845426,Past 7 Days,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 4 Weeks,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Past 4 Weeks,Yesterday,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months
