,Al Jazeera  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Al Jazeera  Thursday
72,19:30  -  19:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
73,19:15  -  19:29,60564342,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:15  -  19:29,19:30  -  19:44"
74,19:30  -  19:44,60564342,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:15  -  19:29,19:30  -  19:44"
75,5:30  -  5:44,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
76,5:45  -  5:59,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
77,5:15  -  5:29,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
78,5:00  -  5:14,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
79,8:00  -  8:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
80,10:45  -  10:59,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
81,12:00  -  12:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
82,10:00  -  10:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
83,9:00  -  9:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
84,19:45  -  19:59,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
85,21:00  -  21:14,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
86,20:45  -  20:59,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
87,20:15  -  20:29,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
88,19:15  -  19:29,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
89,20:30  -  20:44,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
90,20:00  -  20:14,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
91,19:30  -  19:44,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
92,14:00  -  14:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
93,14:30  -  14:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
94,14:15  -  14:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
95,15:30  -  15:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
96,15:00  -  15:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
97,15:15  -  15:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
98,15:45  -  15:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
99,14:45  -  14:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
100,19:00  -  19:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
101,18:45  -  18:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
102,17:15  -  17:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
103,17:00  -  17:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
104,18:15  -  18:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
105,18:00  -  18:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
106,18:30  -  18:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
107,17:45  -  17:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
108,17:30  -  17:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
109,20:15  -  20:29,82105099,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,20:15  -  20:29
110,13:00  -  13:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
111,13:45  -  13:59,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
112,13:15  -  13:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
113,13:30  -  13:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
114,19:00  -  19:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29"
115,19:15  -  19:29,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29"
116,12:15  -  12:29,82188309,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some primary school,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,12:15  -  12:29
117,12:00  -  12:14,82203700,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,12:00  -  12:14
118,10:45  -  10:59,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
119,10:00  -  10:14,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
120,18:30  -  18:44,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,18:30  -  18:44
121,12:00  -  12:14,82278166,Copperbelt,Ndola,Urban,Female,2,One,C1,Completed high School,Muslim,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,19 – 24,12:00  -  12:14
122,6:45  -  6:59,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,6:45  -  6:59
123,21:30  -  21:44,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
124,21:45  -  21:59,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
125,21:15  -  21:29,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
126,19:00  -  19:14,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
127,19:45  -  19:59,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
128,19:15  -  19:29,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
129,19:30  -  19:44,82291928,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
130,8:15  -  8:29,82456633,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,8:15  -  8:29
131,8:30  -  8:44,82532621,Copperbelt,Ndola,Urban,Male,2,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,8:30  -  8:44
132,6:00  -  6:14,82626335,Copperbelt,Ndola,Urban,Male,2,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"6:00  -  6:14,8:00  -  8:14"
133,8:00  -  8:14,82626335,Copperbelt,Ndola,Urban,Male,2,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"6:00  -  6:14,8:00  -  8:14"
134,8:15  -  8:29,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
135,8:00  -  8:14,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
136,8:30  -  8:44,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
137,9:30  -  9:44,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
138,9:45  -  9:59,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
139,9:15  -  9:29,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
140,9:00  -  9:14,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
141,8:45  -  8:59,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
142,20:30  -  20:44,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
143,20:15  -  20:29,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
144,20:00  -  20:14,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
145,10:45  -  10:59,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
146,10:00  -  10:14,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
147,10:30  -  10:44,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
148,10:15  -  10:29,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
149,7:00  -  7:14,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
150,7:15  -  7:29,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
151,7:45  -  7:59,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
152,7:30  -  7:44,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
153,8:15  -  8:29,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
154,8:00  -  8:14,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
155,8:30  -  8:44,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
156,8:45  -  8:59,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
157,7:00  -  7:14,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
158,7:15  -  7:29,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
159,7:30  -  7:44,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
160,7:45  -  7:59,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
161,11:00  -  11:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
162,11:15  -  11:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
163,11:30  -  11:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
164,11:45  -  11:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
165,8:00  -  8:14,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"8:00  -  8:14,8:45  -  8:59"
166,8:45  -  8:59,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"8:00  -  8:14,8:45  -  8:59"
