,Hope Channel  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Yesterday
70,6:45  -  6:59,82013391,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
71,7:00  -  7:14,82013391,Eastern,Chipata,Rural,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
72,21:15  -  21:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
73,20:30  -  20:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
74,22:00  -  22:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
75,18:00  -  18:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
76,21:45  -  21:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
77,18:45  -  18:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
78,21:00  -  21:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
79,21:30  -  21:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
80,18:15  -  18:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
81,20:00  -  20:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
82,20:45  -  20:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
83,18:30  -  18:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
84,19:45  -  19:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
85,20:15  -  20:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
86,21:00  -  21:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
87,21:30  -  21:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
88,21:15  -  21:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
89,21:45  -  21:59,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
90,14:00  -  14:14,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,14:00  -  14:14
91,11:15  -  11:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
92,10:45  -  10:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
93,11:00  -  11:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
94,11:30  -  11:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
95,10:15  -  10:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
96,11:45  -  11:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
97,10:00  -  10:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
98,10:30  -  10:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
99,19:15  -  19:29,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
100,15:45  -  15:59,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
101,19:45  -  19:59,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
102,16:00  -  16:14,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
103,14:45  -  14:59,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
104,21:15  -  21:29,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
105,16:15  -  16:29,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
106,14:15  -  14:29,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
107,15:00  -  15:14,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
108,19:30  -  19:44,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
109,14:00  -  14:14,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
110,20:45  -  20:59,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
111,15:30  -  15:44,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
112,20:30  -  20:44,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
113,15:15  -  15:29,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
114,21:00  -  21:14,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
115,20:00  -  20:14,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
116,14:30  -  14:44,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
117,20:15  -  20:29,60664455,Central,Kabwe,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
118,19:00  -  19:14,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
119,19:15  -  19:29,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
120,19:30  -  19:44,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
121,20:00  -  20:14,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
122,19:45  -  19:59,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
123,7:30  -  7:44,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
124,8:15  -  8:29,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
125,8:00  -  8:14,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
126,7:45  -  7:59,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
127,7:15  -  7:29,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
128,7:00  -  7:14,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
129,8:30  -  8:44,82178833,North-Western,Solwezi,Urban,Female,1,None,C2,Some high school,Other Christian,A business owner,C2,K 850-K 1674,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
