,Al Jazeera  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Al Jazeera  Saturday
56,7:00  -  7:14,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
57,6:15  -  6:29,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
58,6:30  -  6:44,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
59,7:15  -  7:29,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
60,7:30  -  7:44,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
61,9:15  -  9:29,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
62,6:45  -  6:59,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
63,9:00  -  9:14,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
64,7:45  -  7:59,60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
65,8:15  -  8:29,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
66,8:00  -  8:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
67,8:30  -  8:44,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
68,5:30  -  5:44,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
69,8:45  -  8:59,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
70,7:00  -  7:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
71,5:45  -  5:59,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
72,6:15  -  6:29,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
73,5:15  -  5:29,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
74,5:00  -  5:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
75,6:30  -  6:44,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
76,7:15  -  7:29,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
77,7:30  -  7:44,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
78,6:00  -  6:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
79,6:45  -  6:59,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
80,7:45  -  7:59,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
81,19:45  -  19:59,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
82,22:15  -  22:29,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
83,21:00  -  21:14,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
84,20:45  -  20:59,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
85,22:00  -  22:14,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
86,21:30  -  21:44,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
87,20:15  -  20:29,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
88,21:15  -  21:29,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
89,20:30  -  20:44,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
90,22:30  -  22:44,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
91,21:45  -  21:59,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
92,22:45  -  22:59,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
93,20:00  -  20:14,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
94,19:30  -  19:44,60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
95,14:00  -  14:14,60755121,Northern,Kasama,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,25 – 34,14:00  -  14:14
96,19:00  -  19:14,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
97,18:45  -  18:59,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
98,19:45  -  19:59,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
99,18:15  -  18:29,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
100,18:00  -  18:14,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
101,19:15  -  19:29,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
102,18:30  -  18:44,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
103,19:30  -  19:44,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
104,11:15  -  11:29,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
105,10:30  -  10:44,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
106,11:30  -  11:44,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
107,11:45  -  11:59,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
108,11:00  -  11:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
109,10:45  -  10:59,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
110,12:00  -  12:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
111,10:00  -  10:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
112,10:15  -  10:29,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
113,7:00  -  7:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
114,6:15  -  6:29,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
115,6:30  -  6:44,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
116,6:00  -  6:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
117,6:45  -  6:59,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
118,6:45  -  6:59,82449714,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Muslim,Self employed,AB,"K 14,632 -  K 17,499",Yes,35 – 44,6:45  -  6:59
119,19:00  -  19:14,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
120,18:45  -  18:59,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
121,19:45  -  19:59,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
122,18:15  -  18:29,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
