,Emmanuel TV  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Tueday
62,6:00  -  6:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
63,7:30  -  7:44,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
64,8:45  -  8:59,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
65,9:00  -  9:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
66,8:15  -  8:29,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
67,8:00  -  8:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
68,10:15  -  10:29,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
69,6:15  -  6:29,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
70,6:30  -  6:44,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
71,7:45  -  7:59,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
72,10:00  -  10:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
73,6:45  -  6:59,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
74,7:00  -  7:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
75,7:15  -  7:29,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
76,8:30  -  8:44,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
77,12:00  -  12:14,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
78,18:15  -  18:29,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
79,12:30  -  12:44,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
80,7:30  -  7:44,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
81,11:30  -  11:44,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
82,16:45  -  16:59,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
83,7:00  -  7:14,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
84,12:45  -  12:59,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
85,17:30  -  17:44,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
86,8:00  -  8:14,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
87,7:45  -  7:59,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
88,11:45  -  11:59,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
89,17:45  -  17:59,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
90,18:00  -  18:14,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
91,9:00  -  9:14,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
92,18:30  -  18:44,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
93,12:15  -  12:29,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
94,7:15  -  7:29,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
95,16:30  -  16:44,60561765,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,9:00  -  9:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:30  -  16:44,16:45  -  16:59,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
96,13:45  -  13:59,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
97,17:00  -  17:14,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
98,13:00  -  13:14,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
99,17:15  -  17:29,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
100,19:00  -  19:14,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
101,16:45  -  16:59,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
102,21:15  -  21:29,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
103,22:00  -  22:14,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
104,12:45  -  12:59,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
105,17:30  -  17:44,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
106,21:45  -  21:59,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
107,14:00  -  14:14,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
108,13:30  -  13:44,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
109,20:30  -  20:44,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
110,17:45  -  17:59,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:30  -  18:44,19:00  -  19:14,20:15  -  20:29,20:30  -  20:44,21:15  -  21:29,21:45  -  21:59,22:00  -  22:14"
