,BBC World News  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC World News  Tueday
68,20:15  -  20:29,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
69,19:15  -  19:29,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
70,20:30  -  20:44,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
71,18:30  -  18:44,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
72,20:00  -  20:14,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
73,19:30  -  19:44,60664454,Central,Kabwe,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
74,4:15  -  4:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
75,5:30  -  5:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
76,4:30  -  4:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
77,5:45  -  5:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
78,5:15  -  5:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
79,5:00  -  5:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
80,4:00  -  4:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
81,4:45  -  4:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
82,19:00  -  19:14,82024076,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29"
83,19:15  -  19:29,82024076,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29"
84,21:00  -  21:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
85,20:45  -  20:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
86,22:00  -  22:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
87,21:30  -  21:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
88,20:15  -  20:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
89,21:15  -  21:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
90,20:30  -  20:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
91,21:45  -  21:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
92,20:00  -  20:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
93,20:30  -  20:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
94,20:15  -  20:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
95,20:00  -  20:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
96,7:00  -  7:14,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
97,7:15  -  7:29,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
98,7:45  -  7:59,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
99,7:30  -  7:44,82102969,Southern,Livingstone,Urban,Male,1,None,C1,Some high school,Other Christian,Retired - voluntary scholarspensioners,C1,K 850-K 1674,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
100,17:00  -  17:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
101,17:15  -  17:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
102,17:45  -  17:59,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
103,17:30  -  17:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
104,21:30  -  21:44,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,21:30  -  21:44
105,10:45  -  10:59,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
106,10:00  -  10:14,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,10:45  -  10:59"
107,21:15  -  21:29,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,21:15  -  21:29
108,10:15  -  10:29,82532621,Copperbelt,Ndola,Urban,Male,2,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,10:15  -  10:29
109,8:45  -  8:59,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,8:45  -  8:59
110,21:30  -  21:44,82203389,North-Western,Solwezi,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,C2,Under K 849,Yes,25 – 34,"21:15  -  21:29,21:30  -  21:44"
111,21:15  -  21:29,82203389,North-Western,Solwezi,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,C2,Under K 849,Yes,25 – 34,"21:15  -  21:29,21:30  -  21:44"
112,7:00  -  7:14,82267632,Copperbelt,Ndola,Urban,Male,2,Two or More,C2,Some university,Other Christian,Student,C2,Do not know,Yes,25 – 34,7:00  -  7:14
113,15:00  -  15:14,82449716,Copperbelt,Ndola,Urban,Male,1,One,C2,Some university,Other Christian,Refused/ don’t know (DON’T READ),C2,Refusal [Do not show],Yes,35 – 44,"15:00  -  15:14,15:45  -  15:59"
114,15:45  -  15:59,82449716,Copperbelt,Ndola,Urban,Male,1,One,C2,Some university,Other Christian,Refused/ don’t know (DON’T READ),C2,Refusal [Do not show],Yes,35 – 44,"15:00  -  15:14,15:45  -  15:59"
115,11:00  -  11:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
116,11:15  -  11:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
117,11:30  -  11:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
118,11:45  -  11:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
