,African magic  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African magic  Yesterday
339,22:15  -  22:29,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
340,23:00  -  23:14,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
341,23:45  -  23:59,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
342,22:00  -  22:14,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
343,23:15  -  23:29,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
344,22:30  -  22:44,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
345,22:45  -  22:59,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
346,23:30  -  23:44,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
347,7:15  -  7:29,60559883,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
348,7:45  -  7:59,60559883,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
349,7:30  -  7:44,60559883,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
350,12:45  -  12:59,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
351,11:15  -  11:29,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
352,12:15  -  12:29,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
353,12:30  -  12:44,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
354,10:30  -  10:44,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
355,11:30  -  11:44,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
356,11:45  -  11:59,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
357,13:00  -  13:14,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
358,11:00  -  11:14,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
359,10:45  -  10:59,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
360,12:00  -  12:14,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
361,10:00  -  10:14,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
362,10:15  -  10:29,60560017,Copperbelt,Kitwe,Urban,Male,3,One,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 21,371   -  K 26,319",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
363,8:00  -  8:14,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,8:00  -  8:14
364,21:00  -  21:14,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
365,20:45  -  20:59,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
366,22:00  -  22:14,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
367,21:30  -  21:44,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
368,20:15  -  20:29,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
369,21:15  -  21:29,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
370,20:30  -  20:44,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
371,21:45  -  21:59,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
372,20:00  -  20:14,60580042,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
373,16:45  -  16:59,60582407,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,16:45  -  16:59
374,22:15  -  22:29,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
375,19:00  -  19:14,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
376,19:45  -  19:59,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
377,18:15  -  18:29,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
378,22:00  -  22:14,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
379,20:15  -  20:29,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
380,20:30  -  20:44,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
381,18:30  -  18:44,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
382,18:45  -  18:59,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
383,18:00  -  18:14,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
384,19:15  -  19:29,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
385,22:30  -  22:44,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
386,21:45  -  21:59,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
387,22:45  -  22:59,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
388,21:00  -  21:14,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
389,20:45  -  20:59,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
390,21:30  -  21:44,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
391,21:15  -  21:29,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
392,20:00  -  20:14,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
393,19:30  -  19:44,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
394,8:15  -  8:29,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
395,8:00  -  8:14,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
396,8:30  -  8:44,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
397,7:45  -  7:59,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
398,7:00  -  7:14,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
399,7:15  -  7:29,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
400,7:45  -  7:59,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
401,7:30  -  7:44,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
402,7:15  -  7:29,60584112,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Housewife,C2,No Income,Yes,35 – 44,"7:15  -  7:29,7:45  -  7:59"
403,7:45  -  7:59,60584112,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Housewife,C2,No Income,Yes,35 – 44,"7:15  -  7:29,7:45  -  7:59"
404,8:00  -  8:14,60601394,Northern,Kasama,Urban,Female,0,One,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"8:00  -  8:14,11:00  -  11:14,12:00  -  12:14,14:00  -  14:14,14:30  -  14:44"
405,14:00  -  14:14,60601394,Northern,Kasama,Urban,Female,0,One,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"8:00  -  8:14,11:00  -  11:14,12:00  -  12:14,14:00  -  14:14,14:30  -  14:44"
