,Zambezi Magic  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi Magic  Thursday
198,19:30  -  19:44,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
199,18:15  -  18:29,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
200,20:45  -  20:59,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
201,16:00  -  16:14,60583049,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
202,7:45  -  7:59,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
203,7:00  -  7:14,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
204,7:15  -  7:29,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
205,7:30  -  7:44,60584111,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C2,Under K 849,Yes,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
206,7:45  -  7:59,60584112,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Housewife,C2,No Income,Yes,35 – 44,"7:15  -  7:29,7:45  -  7:59"
207,7:15  -  7:29,60584112,Muchinga,Nakonde,Urban,Female,1,None,C1,Primary school completed,Anglican/Protestant,Housewife,C2,No Income,Yes,35 – 44,"7:15  -  7:29,7:45  -  7:59"
208,16:15  -  16:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
209,23:00  -  23:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
210,15:30  -  15:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
211,15:00  -  15:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
212,13:00  -  13:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
213,13:15  -  13:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
214,21:00  -  21:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
215,21:30  -  21:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
216,15:15  -  15:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
217,15:45  -  15:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
218,23:15  -  23:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
219,13:45  -  13:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
220,22:45  -  22:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
221,13:30  -  13:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
222,14:45  -  14:59,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
223,21:15  -  21:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
224,14:15  -  14:29,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
225,14:30  -  14:44,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
226,16:00  -  16:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
227,14:00  -  14:14,60588792,Central,Chibombo,Rural,Female,1,None,C1,Any other post-high school qualification,Other Christian,Self employed,C2,K 850-K 1674,Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
228,11:00  -  11:14,60601394,Northern,Kasama,Urban,Female,0,One,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,11:00  -  11:14
229,18:30  -  18:44,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
230,18:45  -  18:59,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
231,18:15  -  18:29,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
232,19:00  -  19:14,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
233,18:00  -  18:14,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
234,19:15  -  19:29,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
235,9:00  -  9:14,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
236,11:15  -  11:29,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
237,8:45  -  8:59,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
238,9:15  -  9:29,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
239,10:15  -  10:29,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
240,8:00  -  8:14,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
241,11:00  -  11:14,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
242,8:15  -  8:29,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
243,9:45  -  9:59,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
244,11:30  -  11:44,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
245,10:45  -  10:59,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
246,10:00  -  10:14,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
247,9:30  -  9:44,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
248,8:30  -  8:44,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
249,10:30  -  10:44,60607300,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Muslim,Self employed,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
250,13:45  -  13:59,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
251,15:15  -  15:29,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
252,14:45  -  14:59,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
253,15:45  -  15:59,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
254,14:15  -  14:29,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
255,14:30  -  14:44,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
256,16:15  -  16:29,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
